m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
6.715573204221505499e-01 8.864786545050806765e+00 6.505691418174069440e+01 9.494528712614766164e+00 3.520321532374216389e+01 3.123587640847273583e+00 2.190993068902516716e-01 1.526201519942028639e+01
7.364825418999294548e-01 7.237226299307449651e+00 7.400364798371450092e+01 9.069765976002944541e+00 3.859161672439315538e+01 3.225779230696149469e+00 2.212645711989630060e-01 1.690530535670513501e+01
7.222659083438239813e-01 6.689651901894270836e+00 7.702156103041018298e+01 9.359106482175846509e+00 6.409608747073605173e+01 3.351280040513467728e+00 2.263366107447886688e-01 1.786690331122631292e+01
7.593483791679693784e-01 1.356567583094011553e+01 5.026361219233216815e+01 8.649477798730950795e+00 3.985444892822086693e+00 2.948166738077581339e+00 2.169773287843079213e-01 7.498143677313370503e+00
6.371442277636886198e-01 6.404815114352808259e+00 7.716736198364544919e+01 8.974662660287805238e+00 6.916839715868189842e+01 3.248344193886912201e+00 2.117847001516399985e-01 1.703939870601732309e+01
7.046620190345156409e-01 7.735952893122279406e+00 5.696435927430191271e+01 9.234892535761131782e+00 4.870000023793149779e+01 2.851824599282041017e+00 2.241350085555919025e-01 1.035596578459113815e+01
7.417391908940446088e-01 1.170076211235260111e+01 5.712231879472191309e+01 8.320181755752118491e+00 1.028219446799877979e+01 2.898903642083495047e+00 2.098624384178759961e-01 1.280053197062701997e+01
6.280777916890344370e-01 1.072413039882212260e+01 6.134076993677818024e+01 9.205346433731305567e+00 5.361449627457725597e+01 3.138035109571965631e+00 2.133671826945046368e-01 2.253095703001155670e+01
7.103939613094090166e-01 1.073524993544389616e+01 6.245084476910117388e+01 8.969203030351305728e+00 1.483530915529453864e+01 3.209150848989027249e+00 2.193025772884833191e-01 1.821251428098364755e+01
6.754073041855602755e-01 1.090046836893038495e+01 6.489477003233619712e+01 9.429179180868452192e+00 2.648001552127934488e+01 3.247493755641881918e+00 2.247132436968572455e-01 1.596242688182498881e+01
6.963018465312055261e-01 1.044700330605787464e+01 5.772137535057652258e+01 8.951423233748769803e+00 3.783518981504084167e+01 2.942701408615360670e+00 2.208093963044493457e-01 1.680043374296363368e+01
6.151641890591657003e-01 7.580183304175363901e+00 7.105813737122207385e+01 9.116236950942377959e+00 6.831313793315304395e+01 3.101166893015957271e+00 2.187830625517473981e-01 1.929379427065910590e+01
7.145219807299002523e-01 8.965461949818640974e+00 5.490456409954016692e+01 9.789508852394730454e+00 4.146488513885919502e+01 3.062706382802454108e+00 2.259926929530408912e-01 8.036029081967789978e+00
7.172475519914065512e-01 7.949085431734127738e+00 6.540819754863142066e+01 8.532258331342415403e+00 4.236322109614221176e+01 3.034112571300362937e+00 2.111411158360053386e-01 1.145810029472960956e+01
7.797399166290002182e-01 8.092663979549254094e+00 6.349069894714141071e+01 8.633735741512051476e+00 2.539023862515852770e+01 3.020532844799477701e+00 2.095117437199212340e-01 9.886746719677251605e+00
6.526143467238072482e-01 9.062627872474944724e+00 7.003671424091146491e+01 9.582020895289938167e+00 5.026146990073655019e+01 3.254647837834636626e+00 2.267133309863380297e-01 2.080477014010133985e+01
7.098623420721431598e-01 8.877370736573883647e+00 6.991855769701108159e+01 9.397579143034928251e+00 3.319316773446131918e+01 3.194974091213978795e+00 2.245491674594505827e-01 1.212451890917848552e+01
7.160952952549404227e-01 9.316036793387308279e+00 6.779175101682301374e+01 9.136752250530422614e+00 3.795208282913750253e+01 3.282179646853081501e+00 2.189262444596653534e-01 2.123444700834632215e+01
6.538163030069491510e-01 8.477052923959353947e+00 6.002637807218387422e+01 8.249097477386815314e+00 4.974617879165238321e+01 2.858400629726790321e+00 2.070251757488084376e-01 1.140665448549702887e+01
6.858352334227232339e-01 9.940266770061317203e+00 7.312368954149440015e+01 9.455733213603878085e+00 1.555069198219952398e+01 3.459644274319765955e+00 2.250380827963667785e-01 1.803450537611689342e+01
7.437369481871457522e-01 8.893307949854074579e+00 6.905265328574242290e+01 9.383388457054490317e+00 2.475493847868409247e+01 3.180412258626544642e+00 2.286057160751884254e-01 1.308541401608841248e+01
7.382054001377381658e-01 1.112833935251856232e+01 5.622247155536093999e+01 8.999746996190602033e+00 2.457681677110462104e+01 3.237628634519940984e+00 2.140499476734938344e-01 1.241896778435076598e+01
7.098362565908122868e-01 1.094152834253221407e+01 4.483664815464698705e+01 9.080319992939097418e+00 2.353602990188710109e+01 2.779883943962408566e+00 2.234226274559126257e-01 5.218321576474806989e+00
6.608365583580037006e-01 8.493971270119164529e+00 6.877340333346191414e+01 9.523362695291773150e+00 4.390946840356732395e+01 3.220063293297824814e+00 2.205393895160860929e-01 1.592999775901104975e+01
6.647907016725558282e-01 9.698171888083319203e+00 5.884470428740818448e+01 9.216395314000155992e+00 4.874170995776152182e+01 3.011120955916296804e+00 2.185044217929883459e-01 1.181191098765696168e+01
6.262711365356219417e-01 6.905989993326851817e+00 7.721979458017375464e+01 8.893637344750626283e+00 6.919738634574223113e+01 3.340552829475592844e+00 2.154050524363257391e-01 1.287682738918865866e+01
7.446804550753248764e-01 1.131604991716267783e+01 5.538686244525557356e+01 8.866888889237733551e+00 1.264150146784026951e+01 2.824383847095306876e+00 2.150333015981307772e-01 1.345843572069780336e+01
7.123516540580552281e-01 1.118696175477423438e+01 5.730929139645389370e+01 8.251874039738220645e+00 4.460974121596924391e+01 3.057727109426376266e+00 2.079498613265085838e-01 1.485475815907430075e+01
7.371401912674182544e-01 9.108808598640646181e+00 6.558475028428523501e+01 9.080674640837443690e+00 8.069580778023714984e+00 3.097672780585151386e+00 2.192332987800485467e-01 5.192902297822810986e+00
6.844546368924648849e-01 1.326181270313564653e+01 5.673123370699378398e+01 9.470750822984465245e+00 1.501955071924271756e+01 3.153336892568406657e+00 2.248291638961630312e-01 1.653780095464584576e+01
7.753621420545088183e-01 8.688295422274208590e+00 4.716692438812787458e+01 9.614262924812113198e+00 4.123736367768754008e+01 2.802949273645528372e+00 2.246217023606307817e-01 6.992360509555682668e+00
7.589656223704016602e-01 1.142093198135199650e+01 4.640031214025101747e+01 8.747684852654026955e+00 1.546043181429662994e+01 2.682921395293157651e+00 2.186848046474653973e-01 8.271404870635590711e+00
7.272383252941310161e-01 9.921565274857764294e+00 5.020912475550901632e+01 8.591131367428282317e+00 3.863363353690733959e+01 2.815241518434394408e+00 2.123758095724369577e-01 9.218787308769744726e+00
6.316735991194629696e-01 9.419271837097383582e+00 6.770522485077913188e+01 9.157819748889028943e+00 5.133387135897189779e+01 3.126796668953643721e+00 2.190544754746577283e-01 2.154685584700496292e+01
6.666588620184159542e-01 8.234360267224964502e+00 8.000220677651103074e+01 8.786302927927648554e+00 3.793650167210880397e+01 3.459310799051396046e+00 2.112844076580660813e-01 1.485033977787024639e+01
5.971822303371057128e-01 7.290322101005559219e+00 7.183138900958886097e+01 8.632844839499298928e+00 5.921206844037278216e+01 3.289255286963676195e+00 2.141739983113251367e-01 1.165260069765444939e+01
6.968228186400762247e-01 8.400777567985031169e+00 6.690361379625244354e+01 8.975518337288278303e+00 4.493421332638487797e+01 3.077187085331179794e+00 2.148438895378709246e-01 1.396397740228938567e+01
6.350898469920064349e-01 8.452093802677099532e+00 6.971824091160219439e+01 9.483326043441655528e+00 6.518489712293317950e+01 3.326042881042908128e+00 2.253185402825338690e-01 1.573373126017182244e+01
7.169682543654453122e-01 1.069769954146311974e+01 4.029151758585321375e+01 8.965335606613159314e+00 3.391436805594151593e+01 2.581036685771425088e+00 2.258102244696487126e-01 6.237238022162653550e+00
6.301073656990510141e-01 1.084826168094025611e+01 5.970264704245106913e+01 8.666047252497989462e+00 4.825702309036859816e+01 3.042105663852699315e+00 2.123222764568886700e-01 1.952833907495309518e+01
7.040998978688708387e-01 1.027928884496352069e+01 6.425618424356832747e+01 8.673241196236459061e+00 2.388443266048576419e+01 2.979265323675549304e+00 2.152465361493512419e-01 2.334809245350005469e+01
6.987424952023107982e-01 9.848108264004265422e+00 5.894963208568488255e+01 8.131284144184917295e+00 2.056002120364553676e+01 2.910003587993377661e+00 2.068776940224180960e-01 1.031548024252123774e+01
6.995322352513464459e-01 8.056206503416582621e+00 7.877825955143666192e+01 8.946243059450802448e+00 1.774636748572396527e+01 3.376842225820758436e+00 2.224875328999222079e-01 1.886158318291327163e+01
7.711039832174935160e-01 1.077218552202359092e+01 5.204791914419761412e+01 9.136190241852693461e+00 3.825130884912638862e+01 2.829546939960313701e+00 2.201497304524710485e-01 1.806412384909587843e+01
6.877551134293220514e-01 7.677860471955049171e+00 7.591175193697677059e+01 9.673784561055335018e+00 4.537659530676054231e+01 3.447787016363031753e+00 2.316844128649127588e-01 1.685864018174206436e+01
6.946360533149370520e-01 9.292464598636300366e+00 5.982049634348857126e+01 9.403211157333634773e+00 4.224521950381663515e+01 3.133485276198590075e+00 2.202912643595428266e-01 1.586557489853195513e+01
6.922810604854572336e-01 9.321528355249588671e+00 4.546032725469688529e+01 8.599357238859834496e+00 4.043728191662273019e+01 2.624848344592935145e+00 2.105771367909513025e-01 9.562282580163671497e+00
6.537977987926438805e-01 9.876249228031316107e+00 6.340183651199236436e+01 9.008686179864383803e+00 4.661389796059101087e+01 3.072962585279901404e+00 2.201481769458464299e-01 1.846848687603305805e+01
7.739973928777177381e-01 8.771535319012672360e+00 7.289262139146333652e+01 9.330262920850399766e+00 1.264279110846700860e+01 3.466582899718509303e+00 2.180861735012255553e-01 2.145545219925680058e+01
8.025992725241455350e-01 9.245980319911701883e+00 6.373816291799574429e+01 9.591127860353836354e+00 2.308692757512008953e+01 2.988582343102539340e+00 2.246862433491178535e-01 2.281139562703535262e+01
7.018008737575022193e-01 8.926599683421839515e+00 5.373353035720669624e+01 8.003828505753386224e+00 4.364412376759023715e+01 2.551578107867750411e+00 2.035214834772471892e-01 8.620677188678541825e+00
7.315530769708861181e-01 8.185482023047120137e+00 7.672171074346896091e+01 8.771265523396344577e+00 7.479882218365126789e+00 3.362436588578709973e+00 2.164751487781997885e-01 1.462816261554505992e+01
6.509237613973877234e-01 8.375174054015396052e+00 7.455101978200339374e+01 9.509571192426005126e+00 3.827005140952975637e+01 3.362759939198545212e+00 2.220844439119304403e-01 2.344303600760396833e+01
6.588314656932818814e-01 1.000305227574889599e+01 6.563591799563400286e+01 9.416300683695132179e+00 5.023924456829451657e+01 3.188893153550787396e+00 2.224785797478815996e-01 1.950568345100860057e+01
6.555206890071592074e-01 7.897515572554508090e+00 7.904187922643404818e+01 1.003659238021981182e+01 4.607480617161029102e+01 3.455348383862642869e+00 2.325509219610644163e-01 1.835755046109378696e+01
7.479406005605547803e-01 1.008551649993360044e+01 7.151911249679956484e+01 9.528470208501699901e+00 1.209846446989427449e+01 3.563222217787783030e+00 2.259501933241741534e-01 2.299191224706867587e+01
5.940039005768196212e-01 7.030503137640004674e+00 8.502070092524937195e+01 9.275621749050960929e+00 6.729934740627896872e+01 3.488552358165619260e+00 2.184095145677136252e-01 1.721394919430451864e+01
6.598128142039503263e-01 8.000813102755557793e+00 6.210772735798354915e+01 9.111603560506502220e+00 5.936398650362974649e+01 2.918942792748185688e+00 2.215787684918093803e-01 1.213978320796956112e+01
7.095890498762434939e-01 9.934347641443014965e+00 5.794866856566721935e+01 8.983513406356099296e+00 2.671816969763389338e+01 3.096082137031602066e+00 2.131143371650310869e-01 9.784642233279642554e+00
7.640747896519440863e-01 1.149441604225898850e+01 4.065908034893254097e+01 8.907788334126871987e+00 1.676170597010031926e+01 3.002336930990744168e+00 2.132371305285598595e-01 3.028615593691753816e+00
7.358315781347778417e-01 1.038512496261787099e+01 5.734559663056499801e+01 8.649735584867157101e+00 2.092123350425636730e+01 3.102305027037270513e+00 2.110951036727804764e-01 6.702472258424077012e+00
7.350229348995480638e-01 9.987211693573836868e+00 6.485320772864261585e+01 9.140544263887417031e+00 3.309976564887353145e+00 3.204357103434453347e+00 2.166238715621531252e-01 1.913974882936359023e+01
7.054977127417063620e-01 9.397503940886780427e+00 6.620627062094962412e+01 8.969819408480447009e+00 2.783755685405207458e+01 3.235197845715223508e+00 2.144149936592674721e-01 1.454924869468159798e+01
6.526109944224711690e-01 1.588565530159876360e+01 5.746463518704454998e+01 8.754559849761808010e+00 1.602602475385205594e+01 3.184741435800228615e+00 2.168936218740639965e-01 1.636419006267244924e+01
7.194430858131668494e-01 9.819062318047137694e+00 5.172928065084398952e+01 9.258915412735897021e+00 2.765797096438124214e+01 3.195561744312453989e+00 2.229913886976150894e-01 4.519898371189916553e+00
6.092266042278662308e-01 9.693488055749018173e+00 6.495616691085342609e+01 9.174563482437800843e+00 5.398100092893643875e+01 3.164086188046054460e+00 2.165750050450945818e-01 1.726131896062951654e+01
7.467869486443482474e-01 1.136123964229723171e+01 5.321586557321329281e+01 9.487757437258931503e+00 2.126279218977635210e+01 3.089879847418948611e+00 2.290930286548541472e-01 1.938986793248645313e+01
6.736322902961358050e-01 8.857978002666415662e+00 6.172164617089830330e+01 8.891116667974682031e+00 5.819925868130645341e+01 3.087722612243937181e+00 2.166038871232010554e-01 2.135054260404249860e+01
6.851567103140135950e-01 8.341770681626014650e+00 6.819898912448255146e+01 8.855473441392213374e+00 4.632170198956652740e+01 3.201046902802150207e+00 2.126895358023908333e-01 1.389953481971469529e+01
6.646192464918661003e-01 7.113907287930150147e+00 8.363102628435646579e+01 9.262275813692795623e+00 4.582781831932001637e+01 3.507929481708789154e+00 2.161723396826188415e-01 2.229879111076286691e+01
6.907200166234780392e-01 1.005391095310605820e+01 6.350267406978821327e+01 8.727329912312324467e+00 2.978740719992145003e+01 3.048358588078140308e+00 2.091121126733344882e-01 1.544484078832235063e+01
7.469476811729299781e-01 1.139100494503747640e+01 6.144013002375901067e+01 9.248220338561075948e+00 1.086436430653180452e+01 3.270621708753796764e+00 2.194731789181383064e-01 2.047141927746498880e+01
7.124160164133701567e-01 9.714134760954220127e+00 6.171782279245005043e+01 8.871839552816343399e+00 1.830750772495008505e+01 3.243597828548927087e+00 2.203776424069562589e-01 5.016237631731179647e+00
7.171532005984343483e-01 8.089320089468134967e+00 6.988809115011497397e+01 9.297041029354740971e+00 2.272210415954079110e+01 3.151391552946527952e+00 2.179847976380841490e-01 1.973263134263629226e+01
7.557738675392102756e-01 9.972546136691828877e+00 6.321059550291585083e+01 8.931300905533801071e+00 1.245050624944588158e+01 3.156593485629450413e+00 2.174691057657163196e-01 1.478434283501739799e+01
7.598985299305500707e-01 8.042152089675692395e+00 5.065150003245128829e+01 8.832795296254110085e+00 4.193824522962985668e+01 2.658400286209761987e+00 2.151539539094772524e-01 7.311559370978413241e+00
7.920748593872135590e-01 1.169922148158722308e+01 3.948926139025904547e+01 8.892098012559728204e+00 1.932899267824981138e+01 2.631652108118926137e+00 2.173132882331098303e-01 4.302840195040207760e+00
6.410440407273391150e-01 8.212679927407178226e+00 7.169301008937640063e+01 9.162057071311437539e+00 6.835060110977748593e+01 3.088221824655855041e+00 2.166395283197576627e-01 2.012678339312466136e+01
7.107115891190490808e-01 8.468543429070411577e+00 7.028586809853658224e+01 9.037731540919899942e+00 3.331718328229211323e+01 3.171173159803915453e+00 2.135207577527184486e-01 1.325172715829737768e+01
7.316826374931905130e-01 9.105849408847717541e+00 6.431000321272827591e+01 1.011914805871197842e+01 2.522287636378704789e+01 3.487274441277253612e+00 2.300344080452342288e-01 6.964162812117465684e+00
6.742839800706099673e-01 1.079191997750014309e+01 6.434209013289529366e+01 8.744970162961305249e+00 1.716515963549710833e+01 3.102252875753590544e+00 2.129904231184269747e-01 1.435874528488714219e+01
7.121223701387107141e-01 7.517381045827236541e+00 7.997483296343828840e+01 8.959427978279528304e+00 3.678913855314203118e+01 3.238954232253033361e+00 2.161728508999353759e-01 1.658941645799570352e+01
6.628991617083469512e-01 1.017185624046677006e+01 6.491243331559047647e+01 8.605123758227545494e+00 2.775524366864634374e+01 3.119545801929144435e+00 2.119050768619542002e-01 1.618148237418725444e+01
