weight logl m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
0.000000000000000000e+00 -9.999999999999999775e+37 2.961852531583467840e+00 1.377054924300315442e+01 6.528150671122443782e+01 1.835193683118734143e+01 5.099372995248058515e+01 3.176742933559710380e+00 1.634557891284424747e+00 3.092999297142704052e+00
0.000000000000000000e+00 -9.999999999999999775e+37 2.582699290538152503e+00 1.991296135955633417e+01 2.578935242392054761e+01 4.783461581805285334e+01 3.109965773190482352e+01 5.700257756039940560e+00 9.272315100226775630e-01 7.245835919908678591e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.684691243380557424e+00 1.390928278398939000e+01 8.949038880781093042e+01 4.767743432637551848e+01 9.157634214222737512e+01 5.956607944688681044e+00 2.602964967427058851e-01 2.249806444578005493e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.740557154243861926e-01 1.361608647007380846e+01 5.039201700752745694e+01 1.579458516626518616e+01 5.218511151344938526e+01 3.160634686738821308e+00 1.281685398904488959e+00 2.040590265111161372e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.163022616383307284e+00 9.809968396463158768e+00 1.467358760335400270e+01 4.587769166046571456e+01 4.957434811780182571e+01 5.679027164995018140e+00 7.940912234789267998e-01 2.217683889567542010e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.977203883566384324e+00 2.030877206587582151e+01 6.523212773087047367e+01 3.300550751842089170e+01 9.805431027632951668e+01 5.251640676804074204e+00 6.465268502053946875e-01 1.314245866656453643e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.339658816101931382e+00 1.853228492602109867e+01 3.968863517575147171e+01 3.373113134404454172e+01 6.467289221984458436e+01 7.677904656868705935e+00 1.273453263492613452e+00 9.954494187264650407e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.071744985702387298e+00 8.509077709725607619e+00 7.389744284774336336e+01 3.067023292806810275e+01 1.423517725088731112e+01 6.470746269368524040e+00 3.073870690099710368e-01 4.680620284089354044e+00
0.000000000000000000e+00 -9.999999999999999775e+37 2.432640602930833396e+00 5.316811691626796232e+00 2.563089292692798438e+01 4.597211273600275661e+01 1.540670876669868683e+01 3.900696734969588242e+00 1.391898442629121213e+00 1.214366652737540164e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.927637920537356386e+00 1.821932385157131051e+01 3.188017022935020250e+01 7.051883429163445349e+00 9.207624012987776041e+01 5.660985063196506850e+00 1.585427690317483984e+00 2.294304615569494743e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.672984749678301686e+00 1.781801623838741477e+01 1.481411555336003261e+01 1.991731197459775871e+01 2.390785468862561558e+01 3.194456995355592355e+00 1.993898605019043480e+00 1.811001535034285226e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.182699934880317105e+00 1.309626839390850783e+01 4.973570359551858644e+01 4.884006333269485367e+01 5.185883034438395356e+01 3.518177035372406891e+00 3.980183055148774907e-01 8.579025317141994122e+00
0.000000000000000000e+00 -9.999999999999999775e+37 2.371034268467862027e+00 8.231411562407471294e+00 1.421489636052836047e+01 3.121716408440923729e+01 4.723423087813340970e+01 7.253704748161736937e+00 1.744212527497362775e+00 1.651399428663560087e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.005727114826846957e+00 1.727346201688188643e+01 2.560230627830793892e+01 3.938375238685355129e+01 6.262249890957881604e+01 5.827542794047977814e+00 1.022889714892893487e+00 2.079450855364582651e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.386850119320126584e+00 1.530957982128162698e+01 1.194854233035675506e+01 1.904421781304687400e+01 4.267720705946998550e+01 5.662400887463649113e+00 1.019171776732515022e+00 8.500033185035555050e+00
0.000000000000000000e+00 -9.999999999999999775e+37 4.498610097661975615e+00 1.066986757313358680e+01 5.869474853622610055e+01 7.932695800157485877e+00 7.705080346047492412e+01 4.329001449475118335e+00 1.519090259765240924e+00 1.678937961677110025e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.888329934256692377e-01 1.351645576045055996e+01 1.469444123695426008e+01 2.612224188518386470e+01 6.206089359569057962e+01 6.135365243016277503e+00 1.348766224529255098e+00 2.252444907684019881e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.765800522639707992e+00 1.932979605709944693e+01 2.501990141568873582e+01 4.462847995388487021e+01 2.392254784587687766e+01 2.390476540768456282e+00 1.252847591736582000e+00 1.455715587365150654e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.270257086206747932e+00 1.263736685674789761e+01 1.063666534806043629e+01 2.349055547742860739e+01 6.198680765452352404e+01 6.738645071867969349e+00 1.798185429921418388e+00 1.879096367275164781e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.575413017614969213e+00 1.307711378783808343e+01 1.534627492903316082e+01 3.747600971761927635e+00 2.342370458321828863e+01 6.140203618064420610e+00 1.585749355046341069e+00 2.136686066548921303e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.171613331490607646e+00 9.489635635989012385e+00 2.849658072920788143e+01 4.282085631584463670e+01 6.153384232498808615e+00 3.183129548371878670e+00 2.633654584989920666e-01 7.683783006377812974e+00
0.000000000000000000e+00 -9.999999999999999775e+37 3.267292788865337361e+00 1.949222731381539830e+01 2.349987678303930494e+01 4.986715269830136066e+01 1.703747935217837295e+01 3.823587205589706439e+00 1.795547515521415116e+00 1.160131071270892456e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.155843188307086877e-01 1.789275486104931900e+01 1.075136890106019294e+01 2.486551169466122868e+00 2.649101466767094237e+00 7.020268256485699077e+00 1.937715295161167806e+00 6.625564077356832726e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.387694243985541309e+00 2.046899027192013421e+01 5.449496416362069340e+01 1.235538218587459447e+01 6.470425384361301724e+01 4.276177541659114567e+00 1.114974944331796447e+00 1.194222945415614845e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.579791757813769904e+00 1.774058824817237223e+01 1.818292418458848303e+01 7.362240527701990445e+00 8.182907112528731375e+01 5.040637932014470302e+00 1.261571801179738550e+00 7.698507632882482632e+00
0.000000000000000000e+00 -9.999999999999999775e+37 3.055889282830586584e+00 1.874815401919738278e+01 3.724612860553583715e+01 2.930687949774848633e+01 5.673525403697650660e+01 4.193635646127848560e+00 1.261515002532063834e+00 1.571495893210894401e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.774294047920323081e+00 5.684527443323242224e+00 2.499135450630883781e+01 4.102024123164151348e+01 4.261164905753926746e+01 4.186486532600127930e+00 1.878203646109655844e+00 1.377796057386524531e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.074874446285307705e+00 6.159401811813525640e+00 2.304535595030237971e+01 2.719558511270743750e+01 9.396147009550288587e+00 2.485254330013206836e+00 1.715863590239024905e+00 3.599900877328580329e+00
0.000000000000000000e+00 -9.999999999999999775e+37 2.830745582280091988e+00 1.221664909454064940e+01 2.282043689611038317e+01 4.478933586630522967e+01 2.486770368809741427e+01 6.640730092932229489e+00 4.950306074644684751e-01 2.419271628300549892e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.757379772719761313e+00 1.701604517482927292e+01 2.497066396819701239e+01 1.492744549765561146e+01 1.394620737023835133e+01 6.659280073374884701e+00 6.727099849376035889e-01 4.038059702590309996e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.656358862746793337e+00 1.436146684813468255e+01 4.562943301063709356e+01 7.662254272816888090e+00 7.638565204838808143e+01 4.067222863130425914e+00 8.641916287612350089e-01 2.114018212124369356e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.904089443434388684e+00 6.576382648398917397e+00 2.787700220479594648e+01 3.846823990654861802e+01 4.899275910173277992e+01 6.069608739213302684e+00 2.392774100539682980e-01 8.269737758319871901e+00
0.000000000000000000e+00 -9.999999999999999775e+37 3.958384351260673117e+00 6.986219431366015087e+00 1.795963516001143034e+01 2.920006933780315350e+01 1.482004568314332538e+01 7.263078055206593220e+00 2.403495865842253387e-01 5.639064752078700948e+00
0.000000000000000000e+00 -9.999999999999999775e+37 3.255121721521221811e+00 1.140810435207792572e+01 2.384770956487430382e+01 4.419122616800304826e+01 3.176190123023281942e+01 3.360434204803970815e+00 4.935717923698693110e-01 2.055010930576895944e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.096493261468795666e+00 9.763591755302719832e+00 3.159839241575210877e+01 9.605774790050194412e+00 9.590169496259395032e+01 4.939649812989294730e+00 1.654737280211692196e+00 2.379853810897814270e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.415086987167889720e+00 1.666445968442941350e+01 9.294434132429280737e+01 4.031169138313757827e+01 2.617427494283870359e+01 7.513305495882265816e+00 1.547938842408428384e+00 3.324422587865301537e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.275105285212445816e+00 9.881962173354814638e+00 2.644113847816699803e+01 3.129879298036836488e+01 2.028582580870418095e+00 7.316817333433368375e+00 1.482676563628503086e+00 9.250814350980130385e+00
0.000000000000000000e+00 -9.999999999999999775e+37 3.012199680823641312e+00 1.171149357334539509e+01 2.854654546709497964e+01 3.358304901515008822e+01 4.144435301492533341e+01 4.583938653801132190e+00 1.872293919034304421e+00 1.010686349499028580e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.553750967440118869e+00 7.451995068415307344e+00 3.659109871370723255e+01 3.756682320631387739e+01 3.080501555581412987e+01 5.728685628821581055e+00 8.992562153176408835e-01 1.713344446132220611e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.031086566650958769e+00 1.277263119262739544e+01 2.084367186916766457e+01 2.867627657410163167e+01 3.780679053706995774e+01 4.173529216163055722e+00 1.929456680095318788e+00 1.434617120032257809e+01
0.000000000000000000e+00 -9.999999999999999775e+37 5.000825630454173165e-01 1.831009400506464502e+01 1.575581088807569863e+01 2.403786974354909844e+01 2.807600646837558500e+01 3.206681013412875814e+00 1.095120064984102637e+00 2.397412880017287407e+01
