weight logl m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
0.000000000000000000e+00 -9.999999999999999775e+37 5.840515370578505117e-01 5.481593276876971510e-01 6.142389634580492919e-01 3.541211598201498001e-01 5.049871712371776233e-01 1.961238222599517300e-01 7.969766062691248099e-01 4.752170857142190563e-02
0.000000000000000000e+00 -9.999999999999999775e+37 5.066733245996228874e-01 9.320600849722707748e-01 1.754372491546727364e-01 9.558084860827112950e-01 3.040369467869173947e-01 6.167096260066566860e-01 4.040175055681541894e-01 2.280798226047251465e-01
0.000000000000000000e+00 -9.999999999999999775e+37 3.234063762001136988e-01 5.568301739993368749e-01 8.832265423090103207e-01 9.526007005382759463e-01 9.149125468911856185e-01 6.594346574481135814e-01 3.349805374594772012e-02 1.086114976426111323e-02
0.000000000000000000e+00 -9.999999999999999775e+37 1.511341131109922298e-02 5.385054043796130285e-01 4.488001889725272697e-01 3.019303095156160577e-01 5.170213284186806479e-01 1.934391144564702181e-01 6.009363327247161379e-01 8.002566370048527222e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.251066564047564889e-01 3.006230247789474230e-01 5.192875114837780526e-02 9.158712583768513493e-01 4.906499809878972496e-01 6.131711941658363196e-01 3.300506797105148271e-01 8.772538650293660867e-01
0.000000000000000000e+00 -9.999999999999999775e+37 5.871844660339559097e-01 9.567982541172388444e-01 6.136903081207829569e-01 6.531736228249162002e-01 9.803465684477729036e-01 5.419401128006789969e-01 2.480704723363303943e-01 4.844547246332406853e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.611548604289655406e-01 8.457678078763187779e-01 3.298737241750163696e-01 6.679822723274396745e-01 6.431605274731776456e-01 9.463174428114510262e-01 5.963629241625629795e-01 3.458475733593325829e-01
0.000000000000000000e+00 -9.999999999999999775e+37 1.983153032045688047e-01 2.193173568578504762e-01 7.099715871971484793e-01 6.055149577156755392e-01 1.336886590998718205e-01 7.451243782280873029e-01 5.965948278331723031e-02 1.165487080038849488e-01
0.000000000000000000e+00 -9.999999999999999775e+37 4.760491026389455094e-01 1.980073072667476453e-02 1.736765880769776116e-01 9.177982191020970237e-01 1.455223107747342093e-01 3.167827891615980773e-01 6.621658014606228715e-01 4.410289794511044192e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.811505960280318295e-01 8.262077407232069071e-01 2.431130025483355661e-01 1.235078250849682702e-01 9.199620215139168167e-01 6.101641771994178454e-01 7.696820501763800282e-01 9.105672241606499462e-01
0.000000000000000000e+00 -9.999999999999999775e+37 5.250989285057757749e-01 8.011260148992133123e-01 5.349017281511148081e-02 3.860675913183215791e-01 2.313924716022789374e-01 1.990761658925986888e-01 9.966103361216908096e-01 7.004354500149065910e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.291224356898605929e-01 5.060167746192817395e-01 4.415078177279843086e-01 9.763278231162214604e-01 5.137255590341813782e-01 2.530295058954011855e-01 1.100101697304874948e-01 2.860445790061736382e-01
0.000000000000000000e+00 -9.999999999999999775e+37 4.634763813199718197e-01 2.019632226504669559e-01 4.683218178364845219e-02 6.166768180491680740e-01 4.670124331124586581e-01 8.756174580269561192e-01 8.578958486096459612e-01 6.310432298537218543e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.970871662911931388e-01 7.670913760551179017e-01 1.733589586478659905e-01 7.833418854459908154e-01 6.224494839351395470e-01 6.379237990079963394e-01 4.571609527182741717e-01 8.171525458106880802e-01
0.000000000000000000e+00 -9.999999999999999775e+37 2.626224733306380399e-01 6.443487388301016860e-01 2.165047033729727843e-02 3.682493431234056258e-01 4.209818894895958064e-01 6.104001479106082595e-01 4.550954315180638643e-01 2.826101384798067606e-01
0.000000000000000000e+00 -9.999999999999999775e+37 8.976755301350970440e-01 3.543667233208491751e-01 5.410527615136233592e-01 1.414835877583160428e-01 7.681899339441911057e-01 3.881669082458530928e-01 7.328279220918004766e-01 6.430165050770043633e-01
0.000000000000000000e+00 -9.999999999999999775e+37 5.894550886238147935e-02 5.322784850281599978e-01 5.216045818838066506e-02 5.126988139833441593e-01 6.167767029867735618e-01 6.892275405027129542e-01 6.382034580718084493e-01 8.923673511669651948e-01
0.000000000000000000e+00 -9.999999999999999775e+37 5.440409229876954633e-01 8.956122535687154329e-01 1.668877935076525931e-01 8.903771419160176892e-01 2.315408873320896621e-01 6.507942346140938028e-02 5.849153287425455927e-01 5.459632988544133037e-01
0.000000000000000000e+00 -9.999999999999999775e+37 4.429096094299485031e-01 4.773354285467436009e-01 7.074059422893741456e-03 4.589909281107878991e-01 6.160283601467022585e-01 7.897741786446615952e-01 8.878807944007880426e-01 7.300418988152890254e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.092679627785650753e-01 5.048196117398802141e-01 5.940305476703511278e-02 5.607348921963117849e-02 2.265020664971544306e-01 6.900339363440700646e-01 7.698607528035228409e-01 8.420374202386614604e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.268598635695117327e-01 2.806022272493132741e-01 2.055175636578653320e-01 8.534868635886661004e-01 5.205438618685664931e-02 1.971882580619798153e-01 3.520303249944001234e-02 2.471210002772962211e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.463862834419055181e-01 9.057642071134622830e-01 1.499986309226589709e-01 9.972888305775787776e-01 1.619947409310946718e-01 3.039312009316177399e-01 8.864152864007861510e-01 4.174482918569097922e-01
0.000000000000000000e+00 -9.999999999999999775e+37 3.180473230756875047e-03 8.057971788155825488e-01 8.348543345113257352e-03 3.033777896869638280e-02 1.665759057340499005e-02 8.367113760809498091e-01 9.653973862006487439e-01 2.011114816242101089e-01
0.000000000000000000e+00 -9.999999999999999775e+37 2.627947436705185824e-01 9.668118919950084988e-01 4.943884907068966106e-01 2.317424935892774540e-01 6.434773115516466691e-01 3.793629236098523538e-01 5.083194135176646311e-01 4.322708458328760051e-01
0.000000000000000000e+00 -9.999999999999999775e+37 3.019983179211774837e-01 7.962867655107732645e-01 9.092137982876091762e-02 1.298416434224896054e-01 8.164552638917910166e-01 5.067729886690783836e-01 5.897621117665213797e-01 2.477612014296731724e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.032427107817522893e-01 8.592596261998364238e-01 3.027347622837315289e-01 5.776914183213976983e-01 5.629823640098636783e-01 3.656059410213081673e-01 5.897305569622577348e-01 5.963025622656062952e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.498559281470046356e-01 4.278296520770263900e-02 1.665706056256537337e-01 8.167396169722758170e-01 4.203196874498915658e-01 3.644144221000213957e-01 9.323353589498087901e-01 5.120852423419671728e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.071172339357769898e-01 7.246261323834535251e-02 1.449483994478042437e-01 5.346037778103558402e-01 8.480956575303322253e-02 8.087572166886780600e-02 8.421464390216805151e-01 6.956090770993827999e-02
0.000000000000000000e+00 -9.999999999999999775e+37 5.572950167918554465e-01 4.510405684087905875e-01 1.424492988456709242e-01 8.936599156388822518e-01 2.410879160413880173e-01 7.734550154887048778e-01 1.639058930358158195e-01 9.649007079567608614e-01
0.000000000000000000e+00 -9.999999999999999775e+37 9.504856679019921817e-01 7.510028234268295577e-01 1.663407107577445920e-01 2.842335815848083813e-01 1.307697714165489966e-01 7.765466788958140798e-01 2.626166582986686482e-01 8.861129141696999501e-02
0.000000000000000000e+00 -9.999999999999999775e+37 3.176242577034271708e-01 5.850916780084176594e-01 3.958825890070788445e-01 1.359643729146303714e-01 7.614712328120007978e-01 3.445371438550709486e-01 3.689953493117972272e-01 8.321818313584214977e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.763447843743649379e-01 9.852391552493233728e-02 1.986333578310660597e-01 7.646579572765024313e-01 4.847753444619472551e-01 6.782681232022170770e-01 2.182078336331572110e-02 2.725972938399944256e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.874253778083005750e-01 1.241387144603759429e-01 8.844039066679365568e-02 5.755116191388398583e-01 1.395964210418517704e-01 8.771796758677655736e-01 2.241643699123629929e-02 1.582202066121174422e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.439023921471880296e-01 4.005065220048703578e-01 1.538634396097144919e-01 8.814535952653683726e-01 3.107262750528567707e-01 2.267390341339950988e-01 1.630954402054829444e-01 8.065264915551721980e-01
0.000000000000000000e+00 -9.999999999999999775e+37 8.156108696875092878e-01 2.977244847064199895e-01 2.399821379528012111e-01 1.756280569397998814e-01 9.586029794201409437e-01 4.899416354982157884e-01 8.081873778953845289e-01 9.477625264773105185e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.765483647281407276e-01 7.290287302768383437e-01 9.216037924921423041e-01 8.022794159823996019e-01 2.542856054832192125e-01 9.188842493137110434e-01 7.488549124491268305e-01 5.758359077675223592e-02
0.000000000000000000e+00 -9.999999999999999775e+37 2.398174051453970668e-01 3.051226358346759149e-01 1.826793164240777534e-01 6.183427138850686733e-01 1.038972303909513339e-02 8.861362222388946552e-01 7.125980909047239242e-01 3.152527978687013066e-01
0.000000000000000000e+00 -9.999999999999999775e+37 5.943264654742124176e-01 4.194683483340871932e-01 2.060727274121664232e-01 6.649601839826548844e-01 4.085288183325791467e-01 4.306564423001886244e-01 9.290521772412801971e-01 3.524723258691428995e-01
0.000000000000000000e+00 -9.999999999999999775e+37 2.966838709061466739e-01 1.532496917759567090e-01 2.954566523745247864e-01 7.462616980880383277e-01 3.010607631900417136e-01 6.214476048035968425e-01 3.884756751764671945e-01 6.579758461444438211e-01
0.000000000000000000e+00 -9.999999999999999775e+37 5.981809319695833294e-01 4.857894495392122147e-01 1.204852429907518063e-01 5.648219709000332767e-01 3.717857630007066483e-01 3.622548693605093240e-01 9.608092667196215242e-01 5.367900521879381825e-01
0.000000000000000000e+00 -9.999999999999999775e+37 8.164950266233006460e-02 8.318808753165403136e-01 6.395345431195220698e-02 4.701606070112060998e-01 2.734950148320766106e-01 2.011135022354793023e-01 4.972889249911680576e-01 9.553969043553423024e-01
0.000000000000000000e+00 -9.999999999999999775e+37 4.842763758286665610e-01 9.043707590725780232e-01 9.803627952024052128e-03 2.398473816677282322e-02 8.308737451219915249e-01 8.137321922279863173e-01 9.718952810526729769e-01 2.346036446151095189e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.464697139357240552e-01 5.319524395024752828e-01 4.927850644434228489e-02 2.968434592102797698e-01 5.341398545157497457e-01 1.745577947924852324e-01 4.162030940566103787e-01 9.770461972168464904e-01
