m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
5.977954633407867036e-01 1.065665432210121821e+01 4.496915147503564469e+01 8.021936349499526386e+00 4.482870628728466755e+01 2.679315510511547593e+00 2.006142621312470009e-01 7.775832661889195307e+00
6.998309479551211298e-01 8.569694629018215437e+00 4.558840437613142882e+01 8.564557651937199978e+00 4.498196386273973246e+01 2.735758108860406157e+00 2.036123112453068484e-01 6.824086130256837635e+00
7.015170863940518586e-01 9.486609702703642455e+00 4.106923808551974275e+01 8.492790541642873947e+00 3.938867020093685056e+01 2.700491416251084686e+00 2.033848002192207849e-01 5.946985779942498773e+00
7.320185717949917459e-01 8.420568302040903674e+00 5.065224178847479664e+01 8.463470988176002407e+00 4.509710773639963577e+01 2.779555962279380399e+00 2.017921282542565198e-01 8.237327708043370222e+00
6.358600450285282202e-01 9.816240948642604991e+00 4.904544075872851039e+01 8.329194453723097524e+00 4.011012452706961540e+01 2.859354434539276291e+00 2.031950336093147347e-01 7.846735191596961201e+00
7.285168869651841295e-01 8.231672391196118710e+00 4.832458720211015191e+01 8.482751494501634681e+00 4.250521279162671817e+01 2.794080853825235522e+00 2.033855084160085258e-01 7.078288972043173644e+00
7.313174605931066496e-01 1.341101771846498103e+01 4.350801375916925906e+01 7.858893838126940423e+00 1.252672941139667984e+01 2.800872554400089864e+00 2.001803870282806153e-01 6.360961479935321350e+00
7.320273044325270595e-01 8.632096690759963664e+00 4.507845497836660797e+01 8.138465343660669760e+00 4.449567871892586624e+01 2.681853418043315340e+00 2.001056556354224858e-01 6.919215907291834000e+00
7.209182063879489011e-01 8.184199204008750783e+00 4.736989096909052677e+01 9.148978162129960623e+00 4.620457950770762778e+01 2.762197359646543227e+00 2.147723702304180915e-01 7.346626423981923892e+00
8.037133121186559315e-01 8.473594515816456507e+00 4.764658614473931664e+01 8.041564737399866658e+00 4.023320416053164195e+01 2.733734175203937244e+00 2.002500343451067422e-01 7.259386538797878430e+00
7.942880635614232299e-01 8.004598862404817439e+00 5.169327128864460974e+01 8.473624368837297638e+00 3.848592911544140094e+01 2.819006345395852708e+00 2.022651663044281456e-01 7.634569471972629806e+00
7.233482221277244273e-01 1.048884431137494744e+01 5.031197605178500964e+01 7.936089207995933315e+00 3.020206868619557383e+01 2.852698354026736105e+00 2.008497578315300014e-01 8.708084361604782941e+00
7.596810056656645438e-01 1.250106599758061421e+01 4.877907684760436524e+01 8.706318143532490339e+00 1.139548612204855971e+01 2.940429050111228015e+00 2.146565137333533713e-01 9.207430833932543024e+00
7.416005689470169804e-01 1.005252030623668702e+01 4.499988471905995624e+01 7.986897198669913323e+00 3.106345458664711501e+01 2.752351873467293153e+00 2.000295152037910029e-01 6.502716226215550677e+00
8.007488973923545528e-01 9.068139462599635436e+00 4.573379054961909418e+01 7.811250775963864967e+00 3.570874930098342759e+01 2.703692694777828365e+00 2.016916515333831705e-01 6.733493585861035413e+00
7.687617667435536761e-01 9.255803701602992817e+00 4.484109743521381120e+01 8.029784418393504097e+00 3.753666674146399629e+01 2.645624542303456117e+00 2.061554229838434560e-01 6.809539824977788314e+00
5.737347055572336041e-01 1.048195147105406200e+01 5.741141366043947869e+01 8.676353768485430606e+00 5.012696020120245066e+01 3.111830714845757129e+00 2.029711667764408090e-01 1.261238535864779209e+01
7.285806989567614744e-01 1.068653985932073169e+01 4.515715233579282994e+01 8.287929446188540439e+00 2.629747836557467622e+01 2.775301272675655628e+00 2.015157002453126511e-01 6.333201199619179711e+00
7.040542808093175342e-01 1.310017877147622833e+01 4.761332391746583426e+01 8.083188997746095339e+00 1.151921882620597870e+01 2.910363379512170834e+00 2.022778960101634660e-01 7.223030134613463993e+00
7.312561757721960376e-01 8.859821827769668090e+00 5.014750384794499638e+01 8.092399662681419414e+00 4.208923724700945712e+01 2.775378427516567381e+00 2.006622712022948229e-01 8.129169669506802975e+00
7.013017860455328378e-01 8.247198876734469053e+00 5.093603223895847520e+01 8.590185731699602201e+00 4.551312686366222238e+01 2.888965284581473725e+00 2.042686335422554678e-01 7.870720857470813847e+00
6.619570174856058697e-01 9.831478037517786817e+00 5.150004389880564304e+01 8.265348345880870085e+00 4.701377065988747717e+01 2.859902052135248063e+00 2.029667997995078521e-01 9.982720268969682564e+00
7.707736635302560035e-01 8.757186400819156447e+00 4.486113980158333447e+01 7.851450047171369739e+00 3.952998735376203854e+01 2.676849924152112870e+00 2.004677028554430196e-01 6.484698113781582229e+00
8.081920806046880568e-01 7.967285449801694952e+00 5.055469230288974813e+01 8.452189076595077566e+00 3.863988330102373681e+01 2.830748929712194606e+00 2.047395721765183363e-01 7.397897460441364537e+00
6.268919944941445666e-01 1.095785766965370911e+01 5.236131330723119959e+01 8.538911853645654304e+00 3.980345178218109936e+01 2.982539190410954610e+00 2.092530339581621102e-01 1.049900576657462992e+01
7.128082399792299295e-01 1.116296958999540223e+01 4.776895798546566141e+01 8.349294250815383123e+00 2.727902557790671167e+01 2.801843236415230365e+00 2.013634902918447211e-01 8.117507349644224490e+00
7.087196830752540144e-01 8.395221525577321486e+00 4.742381903326251091e+01 8.725593522040618666e+00 4.122558506422272728e+01 2.831982961271529042e+00 2.059415421634027688e-01 6.711411075846385188e+00
8.215098313368244254e-01 8.218644372815623100e+00 4.614856080701543561e+01 8.326177498416566181e+00 3.814757801240759960e+01 2.724894065886234173e+00 2.016850341605223029e-01 6.468566690747469927e+00
7.794204311452378464e-01 7.585342747767606753e+00 4.932540249659788856e+01 8.241371519246873945e+00 4.423840708232006591e+01 2.784869178300758197e+00 2.028783651167813118e-01 7.064529030636680140e+00
6.689053150122480362e-01 9.039569064038481372e+00 4.941470140617904150e+01 8.217062325869868289e+00 4.728970209301216698e+01 2.777144528006767032e+00 2.015801506448338665e-01 8.368931097803143260e+00
6.744845253628938275e-01 9.338804992360451251e+00 4.636299906343319321e+01 7.816182803214604569e+00 4.380058041957220638e+01 2.701924410878842053e+00 2.014296733489453761e-01 7.354828322687963826e+00
7.957752159550166571e-01 7.782749972949670081e+00 5.004025428116160867e+01 8.232391464705830941e+00 4.862686418167252356e+01 2.767161720032070171e+00 2.043961140675002175e-01 8.162238506695924656e+00
8.437234180873941503e-01 9.548950951876960858e+00 5.293607778544621567e+01 8.481017447519745289e+00 2.467973176158942650e+01 2.899284375891664212e+00 2.014571736940750091e-01 8.883661980796134117e+00
6.674820388143919425e-01 9.547769599900345128e+00 4.652630753219274595e+01 8.523502576405451947e+00 3.816574615582400298e+01 2.801040051660151686e+00 2.038632891241344280e-01 6.870882541088961126e+00
7.195823130293984571e-01 9.378090505593615234e+00 5.067146067910976370e+01 8.232707217212027473e+00 3.817643654289585697e+01 2.804549289935481138e+00 2.048103216924420100e-01 8.391737801245547246e+00
7.135608532698998197e-01 7.900184833188662381e+00 5.151077152138024928e+01 8.862711922920682994e+00 4.250179407938665577e+01 2.920506539965831649e+00 2.150047536077929478e-01 7.421999282071610970e+00
7.314950857840072374e-01 8.582529143958094409e+00 4.410270447640924374e+01 7.868583506857215859e+00 4.401369680924862848e+01 2.673237843209218312e+00 2.006142184721837751e-01 6.540699995750933304e+00
6.986323492343031738e-01 8.273764652872369396e+00 5.259004971925929084e+01 8.072594856734930602e+00 4.788173183451392134e+01 2.820883157249090001e+00 2.040960531125856625e-01 8.581463216302626762e+00
5.864866480269088633e-01 1.206465777354269520e+01 4.934813878509332596e+01 7.871808575300795141e+00 4.136150867890676608e+01 2.839922842090321531e+00 2.005577873918318321e-01 1.021286857230282941e+01
7.041034081537524969e-01 9.013805463157618547e+00 4.942432798354131762e+01 8.418182289581721989e+00 4.270130185359934671e+01 2.783027637691416256e+00 2.035956919870345605e-01 7.993603325274818872e+00
7.500652629990041120e-01 7.993660765556388270e+00 4.882817292076178006e+01 8.147437470145007410e+00 4.556837186501186920e+01 2.783972723780429703e+00 2.062496648134937438e-01 7.365166829117521630e+00
6.341264973318089249e-01 9.534652850760954479e+00 5.434903283816721142e+01 8.672396722681650516e+00 5.289407991921256524e+01 2.937789047911902873e+00 2.033784099387981603e-01 1.109212399305561014e+01
