weight logl m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
0.000000000000000000e+00 -9.999999999999999775e+37 4.663783042534316081e+00 2.008520260684910852e+01 1.276793962580332575e+01 6.330803915126880455e+00 7.279550655961674011e+01 6.974573484199500406e+00 6.693685764851328157e-01 1.753456352352532832e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.499221751451547346e+00 1.923430025108689989e+01 1.025955903134619263e+01 2.105078203432904260e+01 5.147196268481508241e+01 4.424300423495798107e+00 1.471084104926727587e+00 1.105820331454277294e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.298846976635896766e+00 1.609419008612548652e+01 6.888915985830269051e+01 4.372817765467799234e+01 9.853357538538519123e+01 3.194277577639791588e+00 7.478865758592305735e-01 3.159365532328814119e+00
0.000000000000000000e+00 -9.999999999999999775e+37 3.698265865258830498e+00 1.655421547273031280e+01 2.650979213127491363e+01 4.761650870552243475e+01 3.260895576613919644e+01 6.271097417247904815e+00 6.341706739861933118e-01 1.076438825881506212e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.268905938833943203e+00 1.541017270312611842e+01 6.660111180014547472e+01 1.653498982682121365e+00 2.003356538172054613e+01 7.601731399966356051e+00 8.842756626174470558e-01 2.617302190485322644e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.763267168140755903e+00 5.763633587484923382e+00 6.870090500235031072e+01 3.830240101786325013e+00 7.194347333394452448e+01 2.895965439239963413e+00 1.529367131749201469e+00 1.068982532228858062e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.619218570210629871e+00 5.620765603373431674e+00 9.487964740635231919e+01 3.713175002258938662e+01 9.875867713012702609e+01 6.157528377923088492e+00 1.611521453464183962e+00 1.449354093042544633e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.500066297674562676e+00 1.214497907224454387e+01 6.706434523141913928e+01 1.739862384905535819e+01 1.734935875164221741e+01 7.516214728588986205e+00 5.366469529254014326e-01 6.504199262084501498e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.944976798542929597e+00 1.966229861173117399e+01 3.754032512103901809e+01 4.937268286664601824e+00 7.944449691986837081e+01 4.320000402271637618e+00 1.733722558355853538e+00 2.191564542256024151e+00
0.000000000000000000e+00 -9.999999999999999775e+37 4.976654417888618731e+00 1.376489485639570631e+01 7.491872298440164002e+01 4.590892070932703461e+01 8.848079682053823092e+01 6.067679957505571764e+00 4.873694408215564211e-01 1.933139435203325363e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.306696089844383568e+00 1.279029282347363861e+01 2.669940742071866779e+01 8.314086679926070644e+00 6.395403489632704463e+01 6.927486056207952103e+00 6.952823569218123945e-01 1.100898485960312456e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.161671781116196733e+00 1.832883569256176060e+01 1.158421100785164626e+01 4.968592205292444497e+00 4.559915028406300053e+01 7.902201201697114819e+00 1.507425033374416135e+00 1.181945422002975477e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.070584363783840809e+00 1.708671034513091769e+01 2.059025397928675361e+01 3.829018490563246502e+01 2.131014925476306221e+00 4.590417832387839070e+00 1.512693562498406141e+00 2.308232778115724315e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.072208439429071625e+00 9.072738074377731721e+00 3.170985602873974685e+01 4.911553249239873509e+01 2.321500387605516025e+01 3.785299072292452216e+00 5.171537050587050599e-01 4.769990939053508683e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.743759684089241757e+00 1.636773781048088239e+01 4.621771297483821428e+01 4.939186096393948588e+01 9.467988840792013150e+01 7.155399514124750837e+00 8.878983138386173923e-01 8.931419802943871389e+00
0.000000000000000000e+00 -9.999999999999999775e+37 2.941258764934813641e+00 1.738475475469456910e+01 2.366146110006469883e+01 1.008480499696482369e+01 6.640606819236164426e+01 2.093147039486574101e+00 1.505014562647515541e+00 1.964584343788955678e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.893942390350747296e+00 1.110545851377922055e+01 5.477823054702462713e+01 1.016553800257802997e+01 5.670876246410300325e+01 3.639720768904251003e+00 6.739432309972869239e-01 6.460133947300796819e+00
0.000000000000000000e+00 -9.999999999999999775e+37 4.074172273334250027e-01 6.613887475876392585e+00 1.829659160876944668e+01 1.663087280891999864e+00 7.604505692701540909e+01 6.019365993346839083e+00 1.070455112535019682e+00 1.992585463138321344e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.825542310329829832e+00 1.829795460299531484e+01 3.193412409837596400e+01 2.886755563776198485e+01 8.171957316439625174e+01 7.935700905913789960e+00 1.425793300392171004e+00 2.113968267490990627e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.636122737674867267e+00 1.228974924310457872e+01 3.488922633189811506e+01 4.340312664510235408e+01 3.370807941557634990e+01 3.651321837120848457e+00 1.681633625309292501e+00 1.643119776238971497e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.261441562770860170e+00 1.779150923190042732e+01 1.908838267780330966e+01 4.007374153462117761e+01 6.360460379002817177e+01 3.804826755854279874e+00 1.146721331309748848e+00 2.153460575700968960e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.113459522271879276e+00 1.725570875603749954e+01 2.350302876705135446e+01 4.824447141279942031e+01 9.213889300112030867e+01 6.662431136094984829e+00 2.271511149177969091e-01 2.016321936040277762e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.860927227873680145e+00 1.270351512392512383e+01 1.198775563433207303e+01 1.710243469282078266e+01 1.945275979810099898e+01 4.414877591786774857e+00 8.653442913023046135e-01 1.813205289196053371e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.167366895069944732e+00 1.199431972608313224e+01 5.746097360941789844e+01 3.925057386638761159e+01 8.237583594881829185e+01 3.937744565733796165e+00 1.024842315984994423e+00 7.889804510015770767e+00
0.000000000000000000e+00 -9.999999999999999775e+37 4.517331959659835583e+00 1.766794296801557707e+01 5.157134431477033587e+01 2.636451189722463440e+01 8.933348067573599849e+01 3.167804560138355541e+00 6.034783496254370050e-01 2.462954521977925637e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.314962746200352584e-01 2.051986170035397095e+01 1.399036959471191466e+01 2.659964883637590916e+01 9.342447077686585999e+01 7.214292920022803202e+00 1.705692202490203258e+00 1.361713011131051587e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.884594631779529905e+00 1.625940067028417246e+01 2.117004413023999732e+01 1.106536174264159200e+01 6.204236064377093385e+01 2.145432810289361392e+00 4.897346892870326762e-01 2.274974932595386790e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.799368404333947957e+00 1.316415711269701205e+01 3.109719830764839443e+01 2.403153772720983028e+01 6.821449847001913724e+01 2.859891297377922470e+00 1.285011983560317539e+00 1.279056801774640917e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.305867889394206394e+00 1.976003927164237695e+01 1.023180431946037849e+01 4.122287142364945112e+01 2.637450226698839018e+01 7.645217538229366561e+00 3.777103869585681784e-01 2.042245249188268730e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.932650178335060254e+00 5.509625159108015424e+00 9.653799280332910371e+01 4.621955985735109351e+01 1.979032100044109299e+01 6.756168140140394129e+00 1.565022917810640068e+00 5.610623866201404297e+00
0.000000000000000000e+00 -9.999999999999999775e+37 3.534961352021345871e+00 1.527202182966277988e+01 5.130148525572895579e+01 8.250621332990004220e+00 6.323004751455378880e+01 2.273016249681711454e+00 6.391661933024048725e-01 1.838777113265667396e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.627779100137431989e+00 1.741678285547796179e+01 9.251109700166973937e+01 3.361995123986449130e+01 4.942586586526123682e+01 7.487569858810283918e+00 5.951205995680486360e-01 6.628413646613074306e+00
0.000000000000000000e+00 -9.999999999999999775e+37 2.089911740901886805e+00 1.241172139148063458e+01 1.247972957275630179e+01 3.689542293858188771e+01 8.952444295479078562e+01 2.336837157551368449e+00 8.060343546505057688e-01 2.452147618132388729e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.963042117306197376e+00 1.938913175508783127e+01 1.562947283379112662e+01 1.977211769300779309e+01 7.897344990940372611e+01 2.410212635339581411e+00 1.695629549800417246e+00 8.968710119548958914e+00
0.000000000000000000e+00 -9.999999999999999775e+37 2.948039327342239169e+00 1.193141334526068498e+01 1.101179146858472890e+01 1.559201043722828928e+01 7.114998888498162977e+00 6.579525555174329021e+00 3.085586323494453609e-01 2.488541837994063499e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.135136527386908067e+00 2.000002878274825946e+01 6.464941081559709346e+01 7.860189317781275165e+00 8.043212569750984642e+01 4.816155670662650934e+00 7.740497351467330311e-01 7.431082008843470810e+00
0.000000000000000000e+00 -9.999999999999999775e+37 2.733899594502327890e+00 9.552086090795240736e+00 1.178818105671827077e+01 2.475150863168793691e+01 9.718360449476543295e+01 4.146548635489721413e+00 6.822571314274208376e-01 1.852974437557109155e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.625876698266943254e+00 1.344634852322402629e+01 7.365908788953221631e+01 5.805032818240860593e+00 9.000898646704563077e+01 4.094168175350115568e+00 1.159038469992816234e+00 2.479553517977347710e+01
0.000000000000000000e+00 -9.999999999999999775e+37 9.987221514037034620e-01 8.914048276671275417e+00 3.124317317319982834e+01 1.207958819490538538e+01 8.344664833891832245e+01 2.927184283516240715e+00 1.769201575491223366e+00 2.087780743397275263e+00
0.000000000000000000e+00 -9.999999999999999775e+37 4.254654358612074638e+00 1.900000036346131438e+01 1.031449434150771793e+01 1.040039693841865009e+01 4.227638897732909129e+01 3.738067307959424213e+00 3.374870881549559831e-01 2.290508864877699580e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.179788699233971894e+00 1.740042165647474448e+01 2.007518262507552009e+01 3.858223636097240927e+01 5.007438905454812073e+01 2.770561865477317198e+00 1.391876462189577834e+00 2.360830187356661725e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.236849803298348593e+00 1.860185321505463918e+01 8.165380128507914037e+01 1.639939703092559853e+01 9.647184355706399117e+01 4.739016367351196912e+00 8.855627183265442071e-01 2.393374706826978482e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.884166381373551635e+00 1.253903673195551605e+01 3.178101039128209138e+01 3.880494328221253397e+01 3.085923545873207630e+01 5.263024231235515771e+00 1.997232790125301971e+00 1.454122007354996349e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.572226862473657061e+00 6.934867688932509822e+00 7.889533876442018823e+01 9.208266321046153280e+00 9.982831551616683896e+01 3.661700806222889071e+00 1.961575079304486824e+00 2.146565396483502397e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.269913778514469627e+00 1.333744700288728957e+01 5.863439623766873865e+01 1.782135916197172421e+01 7.426709421212134998e+01 6.247025586253943885e+00 1.869780323059553107e+00 2.436717618576302158e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.256706972446947124e-01 6.328233824018683507e+00 4.172523577792185989e+01 2.179534324462154160e+01 6.414594798097706985e+01 5.252093262385947980e+00 2.736614900614875445e-01 2.031339029136236363e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.576213545941026473e+00 8.610954423992861706e+00 4.419662451067232212e+01 3.963986223550951848e+01 7.632572555541514703e+01 6.616582387955761035e+00 2.367660271757758839e-01 2.197259769686307607e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.727186325178077020e+00 1.967072201896298367e+01 2.135528498745198789e+01 3.582651438902600916e+01 8.745388841724528106e+01 5.049270373184229221e+00 7.565750658013143948e-01 2.443347244828897047e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.724026778989177444e+00 7.573774369163535525e+00 2.748725706906193977e+01 1.400945357672620872e+01 4.717832144396057714e+01 4.300947923961646602e+00 4.336967956209491493e-01 4.582572677083952328e+00
0.000000000000000000e+00 -9.999999999999999775e+37 4.006820772230125449e+00 1.505174207319190671e+01 5.150761566189404306e+01 4.965393463568013033e+01 6.240593578051588963e+01 3.252319353251045708e+00 1.452512751127118751e+00 1.162351165231728523e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.215701863362776525e+00 1.022949170723211054e+01 7.089004239951843545e+01 2.379492115388477558e+01 8.352706238834399244e+01 7.983588144043801904e+00 1.204484869895989574e+00 4.183459867986213609e+00
0.000000000000000000e+00 -9.999999999999999775e+37 7.886957394090116091e-01 1.738409006761924758e+01 5.362920890903762228e+01 1.701912607316174686e+01 7.006892381971562145e+01 7.489610454257453753e+00 1.481332137415285022e+00 1.618239688463189196e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.410848033333165219e+00 9.394052172553781332e+00 1.080538763251638379e+01 2.715251889481108183e+00 6.581841208767212947e+01 4.346541784022638133e+00 5.027137385542257420e-01 1.851616316527079320e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.065540068011523012e+00 7.255045546801076384e+00 2.992781961746209163e+01 2.580223312453594531e+01 6.330073220431088288e+01 4.349523451721823974e+00 1.593497174836369989e+00 1.509066256460091537e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.014297756725238475e+00 1.864565405437544854e+01 6.155150704450155530e+01 3.586587420705239992e+01 1.152908586070812902e+01 7.336533388321036853e+00 6.261876147860223618e-01 5.133932578268481706e+00
0.000000000000000000e+00 -9.999999999999999775e+37 3.471431185411217424e+00 9.976471413018938250e+00 5.127144643232787757e+01 3.298291683231191485e+01 8.028996321451813856e+01 5.964199548385046512e+00 1.643102566125450581e+00 5.962171690210864128e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.269210004442185014e-01 5.622758310126519277e+00 3.183139555662932452e+01 7.633918953431953369e+00 3.119630057433106529e+01 5.888688048590774216e+00 2.047945501094522447e-01 2.635310086843652311e+00
0.000000000000000000e+00 -9.999999999999999775e+37 4.082273551358293950e+00 2.080416145530453065e+01 5.995993089088543115e+01 1.752916118268028356e+01 8.250252410948186821e+01 3.337898419582883136e+00 1.445357007548110806e+00 9.575991335990774900e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.637060209374215702e+00 1.770430618923343502e+01 1.628023139434476008e+01 3.623230351972689789e+01 1.005785101851374108e+01 3.556871378752437529e+00 1.614692991849931092e+00 3.429899939941879694e+00
0.000000000000000000e+00 -9.999999999999999775e+37 5.872268913292337800e-01 8.719506797344532600e+00 5.631170761455071272e+01 1.074034413531113685e+01 7.618384235932555271e+01 5.285742470282793093e+00 1.171302878764023836e+00 7.589881343264902824e+00
0.000000000000000000e+00 -9.999999999999999775e+37 4.127304098316257885e+00 1.383778321904378750e+01 4.913371623706032665e+01 4.900126409457683963e+01 7.588806461749977927e+01 3.168677220574037001e+00 1.148609524644339075e+00 1.223188730715506800e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.847258170740821104e+00 1.938014195010534024e+01 8.416181309565240554e+01 8.208734743361763009e+00 8.894240900480716050e+01 3.069989453129894130e+00 1.785796658137306370e+00 1.870179850827293322e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.727531214129359505e+00 1.724634291243794948e+01 4.480076474639950135e+01 1.879585022579016140e+01 5.134362189261845799e+01 2.368006753160955213e+00 1.183588095794503747e+00 9.549637392688513415e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.253638308294748871e+00 1.363849633102698000e+01 5.299849468690588594e+01 3.471661103282927030e+01 2.964235440083818673e+00 5.633270931621471966e+00 1.928561252666290748e+00 3.839059352650877166e+00
0.000000000000000000e+00 -9.999999999999999775e+37 2.787016702669216972e+00 5.433561932883261392e+00 1.663013971876008057e+01 2.228676384305986957e+01 2.252512527797205877e+01 6.892150292803313150e+00 6.784807889420241267e-01 2.490316894845426532e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.826973457708762627e+00 1.505804848670872431e+01 1.759634178625004353e+01 1.944815508604075704e+00 4.476034863599027602e+01 3.962374841085318344e+00 1.289983143617921435e+00 8.598951486053707072e+00
0.000000000000000000e+00 -9.999999999999999775e+37 4.169779370101922567e-01 2.010549872076115463e+01 1.193596187322393654e+01 2.586660748361190443e+01 3.243516559120908482e+01 2.818536950197174207e+00 4.934275331112002450e-01 6.172013818800332174e+00
0.000000000000000000e+00 -9.999999999999999775e+37 3.106109686821087124e+00 1.431572340558718537e+01 4.478932234650567779e+01 3.691164305763224007e+01 8.286145296944805239e+01 3.977505644345681546e+00 9.070811518860604217e-01 1.584254949387136868e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.192808484294656246e+00 7.859894374289934760e+00 6.185667834514911334e+01 4.661564011567548960e+01 9.512976162048643403e+01 4.546644255326055095e+00 7.799514585536519995e-01 2.318204307026031685e+01
0.000000000000000000e+00 -9.999999999999999775e+37 7.561284767435785259e-01 6.999317433417713730e+00 1.165918261842872639e+01 3.003998421122025064e+01 6.563728966201152559e+01 7.037186756952869437e+00 6.800560453459226773e-01 8.767349309880966501e+00
0.000000000000000000e+00 -9.999999999999999775e+37 2.834435271614418550e+00 1.850062253526678546e+01 9.245289821834769839e+01 2.550541368922870689e+01 9.574076514351676792e+01 2.241353227481018173e+00 1.107273367398593278e+00 5.139320437052211865e+00
0.000000000000000000e+00 -9.999999999999999775e+37 4.404444871816966867e+00 1.166538669213381674e+01 1.195881841976147797e+01 1.484692590209949614e+01 7.263984973522366317e+01 5.080723347908405074e+00 1.793040989663793550e+00 1.854824500931359310e+01
0.000000000000000000e+00 -9.999999999999999775e+37 5.098057644737091776e-01 6.733632743861713621e+00 4.252608814949926597e+01 2.489271213839653996e+01 6.598956111979072148e+01 2.138091072769346734e+00 1.718395936365232579e+00 1.161756307348304240e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.373888947454385612e+00 1.893870146384776731e+01 5.077810041105788486e+01 4.895933300699037005e+01 8.074436503679498855e+01 3.094463026035235487e+00 3.536034763162159700e-01 2.127787708608189376e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.217427779237330920e+00 9.772321484469253861e+00 8.717070075531459850e+01 2.991660572693695741e+01 8.730786605667373124e+01 5.675929287518319377e+00 5.827065678293747997e-01 2.329797619538989295e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.129307703345221681e+00 1.389336941239033862e+01 5.396101625562643989e+01 3.390466668845210307e+01 9.801658223490005639e+01 2.193602168925059104e+00 7.478791595920912805e-01 9.869668147366116528e+00
0.000000000000000000e+00 -9.999999999999999775e+37 3.435031795078681505e+00 1.893077895327252946e+01 4.706208079890287621e+01 1.673136530724539028e+01 4.046331605374116691e+01 3.278014428667385349e+00 7.008774676246802837e-01 2.717382322834480668e+00
