weight logl m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
0.000000000000000000e+00 -9.999999999999999775e+37 9.313842943947583386e-01 9.428251629280692825e-01 3.075488473114806887e-02 1.087919166352424583e-01 7.252071369658256161e-01 8.290955806999167343e-01 2.607603202695182310e-01 6.754158053706664777e-01
0.000000000000000000e+00 -9.999999999999999775e+37 2.855554594799075696e-01 8.896437656929313542e-01 2.883989237179918064e-03 4.091996333536539465e-01 5.098178048971220289e-01 4.040500705826329808e-01 7.061578360704042767e-01 3.938349267192510217e-01
0.000000000000000000e+00 -9.999999999999999775e+37 8.569075462522238729e-01 6.933868803828429073e-01 6.543239984255855290e-01 8.720036256056733492e-01 9.851876301554060023e-01 1.990462629399653016e-01 3.043814310329058248e-01 5.040719705777452209e-02
0.000000000000000000e+00 -9.999999999999999775e+37 7.343399725018020519e-01 7.221384670456444388e-01 1.834421347919434897e-01 9.513573205208660788e-01 3.192823814761535095e-01 7.118495695413173951e-01 2.412059299923295930e-01 3.810603590789157780e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.467154977212128397e-01 6.506357939453824013e-01 6.289012422238386968e-01 1.333671393228819113e-02 1.922582361789954009e-01 9.336218999943927122e-01 3.801531458985817347e-01 2.683922567327490238e-02
0.000000000000000000e+00 -9.999999999999999775e+37 3.394422792123991117e-01 4.772709921780771136e-02 6.522322778038923685e-01 5.776000207727194358e-02 7.166007407469143775e-01 1.493275732066605688e-01 7.385372954162230386e-01 3.778184922734165729e-01
0.000000000000000000e+00 -9.999999999999999775e+37 9.222895041246182979e-01 3.879785021083947960e-02 9.431071934039145788e-01 7.373826535222324230e-01 9.874613851527982433e-01 6.929213963205147486e-01 7.841785852578799787e-01 5.431974317576281353e-01
0.000000000000000000e+00 -9.999999999999999775e+37 2.857278158519515054e-01 4.465611920152839920e-01 6.340482803491015451e-01 3.346657928378644620e-01 1.651450378953759346e-01 9.193691214314976268e-01 1.870260849585563268e-01 1.958347505254131038e-01
0.000000000000000000e+00 -9.999999999999999775e+37 3.765258772536590470e-01 9.163936632331983745e-01 3.060036124559890602e-01 8.035241401356330027e-02 7.923686557562461541e-01 3.866667337119396031e-01 8.520680879754741754e-01 8.328893141566262592e-03
0.000000000000000000e+00 -9.999999999999999775e+37 9.952355954874732014e-01 5.478059285247316446e-01 7.213191442711293089e-01 9.165085859046333550e-01 8.836444123286689711e-01 6.779466595842620347e-01 1.596496893453090982e-01 7.535388848710110610e-01
0.000000000000000000e+00 -9.999999999999999775e+37 2.462645081315067985e-01 4.868933014671024129e-01 1.855489713413185360e-01 1.492670751005320540e-01 6.358993423871418527e-01 8.212476760346587579e-01 2.751568649565624414e-01 3.916949938957879906e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.248309757379992835e-01 8.330522307851100372e-01 1.760234453168496582e-02 8.099167765902948180e-02 4.504964675157878684e-01 9.837002002828524327e-01 7.263472407635644945e-01 4.269327921752067434e-01
0.000000000000000000e+00 -9.999999999999999775e+37 1.980784415885389338e-01 7.554193965706824665e-01 1.176694886587417166e-01 7.610241817476013360e-01 1.142439318662935577e-02 4.317363053979732523e-01 7.292742013880033625e-01 9.166229470068366636e-01
0.000000000000000000e+00 -9.999999999999999775e+37 8.106547835569534177e-01 2.545461296486082325e-01 2.412206225415527427e-01 9.819496427020150131e-01 2.243939785460117298e-01 2.975498453820754063e-01 1.761965028103916753e-01 1.204343886545004016e-01
0.000000000000000000e+00 -9.999999999999999775e+37 3.354611600182125786e-01 7.104836131550550382e-01 4.024190330537579241e-01 9.875889992640711768e-01 9.462614990699003137e-01 8.592332523541250655e-01 3.821657299103430327e-01 3.013660783888639783e-01
0.000000000000000000e+00 -9.999999999999999775e+37 5.798487275377169903e-01 7.740471721684105688e-01 1.517940122229410882e-01 1.854041836115269959e-01 6.606673554784004976e-01 1.552450658109572057e-02 7.250080903597309057e-01 7.672105842560676958e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.742739572144381466e-01 3.815911571112012846e-01 4.975358949669402842e-01 1.870517959709802058e-01 5.627147723646768185e-01 2.732867948173751671e-01 2.633017949984927109e-01 1.939188672739476926e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.273820965988263776e-02 1.008679672422745366e-01 9.218435120854939768e-02 1.353239348759183169e-02 7.580308780506607169e-01 6.698943322244731435e-01 4.835861736305664405e-01 7.793849839731832319e-01
0.000000000000000000e+00 -9.999999999999999775e+37 9.643963898632306186e-01 8.311221626872071777e-01 2.437124899819551604e-01 5.687256252604486750e-01 8.153492238827904082e-01 9.892834843189649563e-01 6.809962779956505452e-01 8.321601163004306301e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.216577015662993810e-01 4.556093276940361703e-01 2.765469592433124069e-01 8.653699315327011421e-01 3.303846405613772852e-01 2.752203061868080392e-01 8.231297918384958834e-01 6.274433809734658585e-01
0.000000000000000000e+00 -9.999999999999999775e+37 4.411105230144611866e-01 7.994693269937765967e-01 1.009820297533701172e-01 7.974232966249220622e-01 6.323697352528098170e-01 3.008044593090466456e-01 5.259562951720826440e-01 8.493306850873778568e-01
0.000000000000000000e+00 -9.999999999999999775e+37 4.109101065860977231e-01 7.659817972523438323e-01 1.500336529672372521e-01 9.641728859754983283e-01 9.205948787991951043e-01 7.770718560158308419e-01 1.508395273210938470e-02 7.897051895827293944e-01
0.000000000000000000e+00 -9.999999999999999775e+37 9.716178016068734991e-01 4.814696952453202394e-01 2.208617371480081637e-02 3.286211161800159930e-01 1.863915131121313129e-01 4.024795986311291429e-01 3.696357173901692050e-01 7.013936039982840986e-01
0.000000000000000000e+00 -9.999999999999999775e+37 2.178299785857029658e-01 4.371449828801957649e-01 5.273441512157543976e-01 7.806239564568900891e-01 8.219781408971544856e-01 3.229574276222993978e-01 4.582457311027746671e-01 2.560784569572074343e-01
0.000000000000000000e+00 -9.999999999999999775e+37 9.014963182979256473e-01 7.917464355009735666e-01 4.619038257196703690e-01 5.176430999433598856e-01 8.922573805629898658e-01 1.946340933563925901e-01 2.241546386807983238e-01 9.838932704251850403e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.765230094286434070e-02 9.699913562721230731e-01 4.433743994124350607e-02 5.224418129872634431e-01 9.335805128976348843e-01 8.690488200038004596e-01 8.364956680501128838e-01 5.050926135352398205e-01
0.000000000000000000e+00 -9.999999999999999775e+37 9.764478840366387358e-01 7.037125418927607789e-01 1.241116014471110862e-01 2.054155457681957619e-01 6.165895014522316808e-01 2.423880171489356528e-02 1.609637162705737090e-01 9.021630141719072515e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.549731437416219437e-01 5.102598195435632533e-01 2.344133145294265974e-01 4.700313821879557041e-01 6.789343279799913145e-01 1.433152162296537080e-01 6.027844353112875586e-01 4.691551312063656498e-01
0.000000000000000000e+00 -9.999999999999999775e+37 8.583403855906543978e-01 9.225024544776485591e-01 2.575603549559768446e-03 8.208749270132540410e-01 2.563081037069534496e-01 9.408695897048944268e-01 9.872799275476007441e-02 8.009761952992473510e-01
0.000000000000000000e+00 -9.999999999999999775e+37 9.862551384357265416e-01 3.185157244425096401e-02 9.615332533703233597e-01 9.228481603541039968e-01 1.898012222266777238e-01 7.926946900233990956e-01 7.583460654503556553e-01 1.569836463565827955e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.010125208206827718e-01 6.420013643539237425e-01 4.589053917303217434e-01 1.479718639385715351e-01 6.285863385308463336e-01 4.550270828028524228e-02 2.439812185013360279e-01 7.125117883763770754e-01
0.000000000000000000e+00 -9.999999999999999775e+37 9.240365510484555012e-01 7.760489284673727228e-01 9.167899666852193930e-01 6.657132906094793690e-01 4.891501602551640016e-01 9.145949764683806160e-01 2.195114442044714398e-01 2.012353759396988684e-01
0.000000000000000000e+00 -9.999999999999999775e+37 4.061044369187524206e-01 4.632325869675396612e-01 2.755255080840335324e-02 7.325596518077935881e-01 8.941862924726342587e-01 5.613952625856144518e-02 3.366857525836143283e-01 9.791946165792994039e-01
0.000000000000000000e+00 -9.999999999999999775e+37 9.924575749604485075e-01 8.993207346929894541e-01 6.254969815323474513e-02 3.831044427144447706e-01 7.876106051454921930e-01 6.836877255659690178e-02 8.309053054446762232e-01 3.029873965021286919e-01
0.000000000000000000e+00 -9.999999999999999775e+37 5.812325157841303769e-01 4.332133340787928111e-01 1.124212742871921744e-02 2.977961313720058900e-01 6.176766554038548573e-02 7.632542591957215405e-01 6.031035130524742272e-02 9.950181904322015214e-01
0.000000000000000000e+00 -9.999999999999999775e+37 2.112523525279403902e-01 9.375017989217662162e-01 6.072156757288565965e-01 1.400038636281892845e-01 8.023447040152510423e-01 4.693592784437752297e-01 3.189165195259627827e-01 2.361340003844987212e-01
0.000000000000000000e+00 -9.999999999999999775e+37 5.375305294902709141e-01 2.845053806747025460e-01 1.986867840798078877e-02 4.847246659528150481e-01 9.715515605531861443e-01 3.577581059149536058e-01 2.679206285707893542e-01 7.186845380683083429e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.195666731157026597e-01 5.278967827015016434e-01 7.073231987725802083e-01 9.806189424981348601e-02 8.990806713842993680e-01 3.490280292250192984e-01 5.327991499960089694e-01 9.911102252075425501e-01
0.000000000000000000e+00 -9.999999999999999775e+37 1.834126839599394820e-01 2.446280172919547136e-01 2.360352574799980951e-01 2.261140447939874454e-01 8.327944276658416634e-01 1.545307139193734525e-01 8.717786530506796971e-01 3.816554060751098376e-03
0.000000000000000000e+00 -9.999999999999999775e+37 8.478886446147090306e-01 8.750000227163321487e-01 3.494381572307969641e-03 1.918448354779316301e-01 4.169332219932231354e-01 2.896778846599040724e-01 7.638171564164220051e-02 9.089168977729128462e-01
0.000000000000000000e+00 -9.999999999999999775e+37 4.244466733130554115e-01 7.750263535296715300e-01 1.119464736119502035e-01 7.669844155300491462e-01 4.957008995408901386e-01 1.284269775795529034e-01 6.621535901053210438e-01 9.394913858072442281e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.401734292445608876e-01 8.501158259409150597e-01 7.961533476119905250e-01 3.142734087944000221e-01 9.643620561319594664e-01 4.565027278918661890e-01 3.808681768480800534e-01 9.536411768812950163e-01
0.000000000000000000e+00 -9.999999999999999775e+37 3.641155880354186580e-01 4.711897957472197529e-01 2.420112265698010079e-01 7.715294547390313395e-01 3.016084389770916641e-01 5.438373718725859618e-01 9.984626611807233543e-01 5.452704379804331758e-01
0.000000000000000000e+00 -9.999999999999999775e+37 5.045360943823788968e-01 1.209292305582818638e-01 7.655037640491131334e-01 1.675156392050235477e-01 9.982658132946145013e-01 2.769501343704815488e-01 9.786528218358260256e-01 8.463327810797837136e-01
0.000000000000000000e+00 -9.999999999999999775e+37 4.428395466356059851e-01 5.210904376804555982e-01 5.403821804185415800e-01 3.432930441218718931e-01 7.400716587082964981e-01 7.078375977089906845e-01 9.276557350330850715e-01 9.724859211201313247e-01
0.000000000000000000e+00 -9.999999999999999775e+37 2.564708107034585627e-02 8.301461400116771916e-02 3.525026197546873297e-01 4.243947600943172027e-01 6.378378583937077684e-01 5.420155437309912561e-01 4.092305003415974696e-02 7.962343604940158581e-01
0.000000000000000000e+00 -9.999999999999999775e+37 3.012680706002094366e-01 2.256846514995538566e-01 3.799624945630257766e-01 7.885686170512146154e-01 7.608659147011631596e-01 7.694303979926269133e-01 2.042557065320882437e-02 8.683738129070902589e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.402421071791993601e-01 9.169201261851864793e-01 1.261698331939109519e-01 7.107451916127757174e-01 8.732716001741946954e-01 5.082117288640382036e-01 3.092083698896190835e-01 9.753683673169117885e-01
0.000000000000000000e+00 -9.999999999999999775e+37 3.314340365284035306e-01 1.608608980727209703e-01 1.943028563229104444e-01 2.654990525862491735e-01 4.664476913531371283e-01 3.834913206602744706e-01 1.298315531227495212e-01 1.122857685688675167e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.973103616796173299e-01 6.282338795744941695e-01 4.611957295766004883e-01 9.929374415444924828e-01 6.202619775809685709e-01 2.087198922085076180e-01 6.958404172928437381e-01 4.184135501007515412e-01
0.000000000000000000e+00 -9.999999999999999775e+37 4.317758904821992205e-01 3.268432317020069089e-01 6.765560266613159790e-01 4.652024725282607465e-01 8.336066907913535218e-01 9.972646906739669470e-01 5.580471499422163806e-01 9.493303773853101202e-02
0.000000000000000000e+00 -9.999999999999999775e+37 1.405501508997982762e-01 7.740056292262030846e-01 4.847689878781957784e-01 3.269209402686070742e-01 6.976658971688446398e-01 9.149350757095755515e-01 7.118511874529360739e-01 6.166259515057345153e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.756832721088091853e-01 2.746282607846113333e-01 8.948751472404259388e-03 3.500514060165527130e-02 6.547314352290114492e-01 3.910902973371063185e-01 1.681742991967920542e-01 7.180940506639474918e-01
