m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
8.697601694055497878e-01 9.296845153945055173e+00 5.054444499109242628e+01 9.134984555696346931e+00 2.588103520906451749e+01 2.855028276150799904e+00 2.294250405529136838e-01 8.092822104658115023e+00
7.367778011221615131e-01 9.440415619776000966e+00 4.395800941689249441e+01 9.006748008524345650e+00 3.604467274718647474e+01 2.733073216457198917e+00 2.013188584304762274e-01 6.486679766047290130e+00
6.882026973890356114e-01 1.028722291662693422e+01 5.146188771178724863e+01 9.322563838541894299e+00 4.131613308024535058e+01 2.889080630921587289e+00 2.341158808011920001e-01 1.074800467079297128e+01
7.167719686157927317e-01 9.396193966893992666e+00 4.450038936648147825e+01 9.262282013862966679e+00 3.946000780242240324e+01 2.733109536550885732e+00 2.081507649576422314e-01 6.898998421887463373e+00
7.108660514615466886e-01 8.432124624489707898e+00 5.017539003911698359e+01 8.623813944533475606e+00 4.522056388233299629e+01 2.828072132658701499e+00 2.105419225520857585e-01 7.985515555615622318e+00
7.069944133684928911e-01 1.195650901626245499e+01 3.201349408098064231e+01 8.511396633864571015e+00 3.099814212993456763e+01 2.529338830301353536e+00 2.049191375639604629e-01 4.741035815050960167e+00
7.177162290190204352e-01 9.719436434987260398e+00 4.871699078339857181e+01 9.121338647351537432e+00 3.204060628513826714e+01 2.879919007911714512e+00 2.161745098182276670e-01 7.315666371663926526e+00
8.144888128699476759e-01 8.803661588267663873e+00 4.159705423755184484e+01 8.811737476311723327e+00 3.799522979499162290e+01 2.647617430289165519e+00 2.207985163906621140e-01 6.032418588389657721e+00
7.139899835648298998e-01 1.180669795249524157e+01 3.304652778153366910e+01 8.192781295934054242e+00 3.170005365854986579e+01 2.495913703279092122e+00 2.079864065754664648e-01 5.031172680679538267e+00
7.569825168847637009e-01 1.118896700007599598e+01 3.749345234608328781e+01 8.308681545942418367e+00 2.698629212360836860e+01 2.644464084083865796e+00 2.021506658837989301e-01 5.011679888218708356e+00
7.381401250774498601e-01 9.122080011424547052e+00 4.562291617099195662e+01 8.773946909556887164e+00 3.972707149526682002e+01 2.742050234594309188e+00 2.246069110297507498e-01 7.039519629655957011e+00
6.993557526858278361e-01 9.823732717563858685e+00 4.293160079923331551e+01 8.778662394247511713e+00 4.030124628847575963e+01 2.663354438663455781e+00 2.138397973860071410e-01 6.878320996254122299e+00
7.488847216055559697e-01 8.639918114355259249e+00 4.842757448246738505e+01 8.307278743749066052e+00 3.916724681152310694e+01 2.765651947655224152e+00 2.014813887279279514e-01 7.222034016171185122e+00
