logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 9.510000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 nan -1.052077950803786835e-03 9.500000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 nan -2.105263935462440596e-03 9.490000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -3.159560290368501438e-03 9.480000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -4.214969359312061709e-03 9.470000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -5.271493493512028478e-03 9.460000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -6.329135051647551309e-03 9.450000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -7.387896399889616779e-03 9.440000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -8.447779911932809527e-03 9.430000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -9.508787969027246781e-03 9.420000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -1.057092296001066987e-02 9.410000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -1.163418728134072398e-02 9.400000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -1.269858333712739658e-02 9.390000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -1.376411353916563024e-02 9.380000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -1.483078030696811586e-02 9.370000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -1.589858606779825587e-02 9.360000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -1.696753325670330437e-02 9.350000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -1.803762431654768253e-02 9.340000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -1.910886169804647955e-02 9.330000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.018124785979912017e-02 9.320000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.125478526832323342e-02 9.310000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.232947639808868096e-02 9.300000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.340532373155178661e-02 9.290000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.448232975918972903e-02 9.280000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.556049697953514943e-02 9.270000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.663982789921091887e-02 9.260000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.772032503296511033e-02 9.250000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.880199090370614418e-02 9.240000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -2.988482804253814532e-02 9.230000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -3.096883898879647379e-02 9.220000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -3.205402629008345661e-02 9.210000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -3.314039250230430694e-02 9.200000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -3.422794018970325147e-02 9.190000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -3.531667192489983814e-02 9.180000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -3.640659028892545557e-02 9.170000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -3.749769787126003978e-02 9.160000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -3.858999726986898915e-02 9.150000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -3.968349109124029439e-02 9.140000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -4.077818195042183513e-02 9.130000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -4.187407247105891239e-02 9.120000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -4.297116528543198227e-02 9.110000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -4.406946303449457703e-02 9.100000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -4.516896836791146896e-02 9.090000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -4.626968394409700785e-02 9.080000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -4.737161243025370116e-02 9.070000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -4.847475650241097472e-02 9.060000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -4.957911884546418319e-02 9.050000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -5.068470215321380784e-02 9.040000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -5.179150912840488341e-02 9.030000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -5.289954248276664689e-02 9.020000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -5.400880493705238761e-02 9.010000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -5.511929922107955404e-02 9.000000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -5.623102807377003409e-02 8.990000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -5.734399424319070598e-02 8.980000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -5.845820048659419038e-02 8.970000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -5.957364957045983844e-02 8.960000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -6.069034427053494191e-02 8.950000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -6.180828737187617217e-02 8.940000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -6.292748166889126915e-02 8.930000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -6.404792996538094529e-02 8.920000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -6.516963507458101157e-02 8.910000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -6.629259981920479494e-02 8.900000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -6.741682703148574318e-02 8.890000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -6.854231955322025172e-02 8.880000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -6.966908023581082354e-02 8.870000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -7.079711194030936794e-02 8.860000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
-9.999999999999999775e+37 0.000000000000000000e+00 -7.192641753746080446e-02 8.850000000000000000e+02 -9.999999999999999775e+37 -9.999999999999999775e+37 nan
