weight logl m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
0.000000000000000000e+00 -9.999999999999999775e+37 1.878917986936388340e+00 1.473707479413102384e+01 2.289367248078954731e+01 3.559419072828478647e+01 4.019268997058774318e+01 6.243618694586499096e+00 1.198664465587060191e+00 1.096067026367592945e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.268970383028542592e+00 1.013192993801679442e+01 1.995442094658962873e+01 4.964281864798930854e+01 1.770498748776820719e+01 5.867202709149940354e+00 1.163567788099651334e+00 1.374472952095693223e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.780817440837126675e+00 1.836559761181903383e+01 2.092024054432840074e+01 1.117997035891887236e+01 1.737334476824425522e+01 3.564727839044074642e+00 4.736806924776342242e-01 2.251306436894825680e+00
0.000000000000000000e+00 -9.999999999999999775e+37 3.357572752763451351e+00 2.093017880841691181e+01 3.720858462699324321e+01 8.148479270737434277e+00 9.881636158565892458e+01 5.067380462264246432e+00 1.845434414623692509e+00 2.074301895031754484e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.846588518734955553e+00 6.622062506253989511e+00 2.772726553777453518e+01 3.103148470297850903e+00 6.176047933797551792e+01 3.337542908976917744e+00 2.648560437232634346e-01 1.814346147394255482e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.504245826870467262e+00 1.262388291787309313e+01 2.297312083104137059e+01 3.754390685042488940e+01 1.982150848304502233e+01 7.903486952131353327e+00 4.654826844500051242e-01 8.993321330501050426e+00
0.000000000000000000e+00 -9.999999999999999775e+37 4.558682813726001370e+00 1.005819075371204718e+01 1.919008685375943912e+01 2.291694610460911008e+01 7.361864229162179640e+01 5.200026399488406170e+00 8.993800762113766112e-01 1.063253831114630543e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.221407514444607934e+00 1.291820554912399999e+01 6.718789488120071951e+01 2.014886850938647278e+00 8.886529515136574275e+01 3.619373514011560378e+00 2.922809468121101428e-01 1.945456739375590871e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.031838903097401783e+00 1.061258191771303316e+01 5.607608421689553069e+01 6.946004742181020930e+00 6.512548948254118386e+01 7.444696557176483154e+00 1.655257012016530860e+00 7.946920366386296841e+00
0.000000000000000000e+00 -9.999999999999999775e+37 3.373787455168075766e+00 6.392317917672929894e+00 1.213015812794323445e+01 3.360849827723635030e+01 3.153130589166201858e+01 3.879910763280578934e+00 9.214986032937655391e-01 2.101553025382805373e+01
0.000000000000000000e+00 -9.999999999999999775e+37 8.045734296455605561e-01 8.282538952977041902e+00 3.936849364837027565e+01 2.528908414836659801e+01 5.306723723082189537e+01 4.221930680265439051e+00 2.368774295103694694e-01 9.059618386207308305e+00
0.000000000000000000e+00 -9.999999999999999775e+37 8.966536465561070202e-01 8.827290342973199699e+00 7.496548463425529008e+01 2.159721941914606802e+01 2.173131797783472052e+01 3.739537187759630399e+00 1.101838315339484842e+00 2.180538446535203345e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.116686809235891142e-01 8.716512954550394099e+00 5.692964951399714124e+01 1.068301736969757521e+01 9.845093630712618449e+01 6.188501511831493218e+00 1.727940328753627020e+00 1.069477652887404950e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.354864340883850327e+00 1.272296533761772963e+01 2.219451552128347060e+01 2.493629093733230562e+01 9.053244026924718924e+01 7.743145630535783752e+00 5.886716914573917325e-01 1.964345784716107346e+01
