weight logl m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
0.000000000000000000e+00 -9.999999999999999775e+37 3.630444871298751375e-01 6.085671746331889898e-01 1.432630275643282936e-01 7.060038924139752092e-01 3.958857572786640411e-01 7.072697824310831827e-01 5.548135919928112170e-01 3.895943592902577635e-01
0.000000000000000000e+00 -9.999999999999999775e+37 4.426470169446005132e-01 3.207456211260496515e-01 1.106046771843292031e-01 9.927105846528430089e-01 1.687372473511939974e-01 6.445337848583233553e-01 5.353154378331396179e-01 5.106404139546492083e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.511872328239033170e-01 8.353498507386896144e-01 1.213360060480933589e-01 2.077544971207933022e-01 1.653873208913561044e-01 2.607879731740124774e-01 1.520448291542412234e-01 1.092636682151415517e-02
0.000000000000000000e+00 -9.999999999999999775e+37 6.648107658700920242e-01 9.956361755260570989e-01 3.023176069665916010e-01 1.458873320558660147e-01 9.880440564207971788e-01 5.112300770440411091e-01 9.141302303464958756e-01 8.149138674051106257e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.646099017826438748e-01 1.013789066408743444e-01 1.969696170863837192e-01 4.292139735301736536e-02 6.137422155351062170e-01 2.229238181628195870e-01 3.603113540181301921e-02 7.018896293018501709e-01
0.000000000000000000e+00 -9.999999999999999775e+37 4.906624136470341124e-01 4.764926823670683209e-01 1.441457870115707696e-01 7.457940173556100172e-01 1.901162473034850864e-01 9.839144920218921841e-01 1.474903802500028283e-01 3.040574491522195499e-01
0.000000000000000000e+00 -9.999999999999999775e+37 9.099352681073472615e-01 3.161369221070029489e-01 1.021120761528826471e-01 4.472846143797777341e-01 7.335216393093111353e-01 5.333377332480676580e-01 3.885444867840981420e-01 3.753277526585350188e-01
0.000000000000000000e+00 -9.999999999999999775e+37 8.411035743764506689e-01 4.948878468202499992e-01 6.354210542355634983e-01 2.071197654976830727e-02 8.875282338521791603e-01 2.698955856685933963e-01 5.126719267339452379e-02 7.588942345111264753e-01
0.000000000000000000e+00 -9.999999999999999775e+37 8.024161026729391688e-01 3.507863698570645727e-01 5.119564912988392447e-01 1.213470355547147106e-01 6.477322169953655395e-01 9.074494261960804886e-01 8.084761177869616011e-01 2.585617550602737902e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.681198888098113242e-01 8.701986985455811840e-02 2.366842364381371855e-02 6.654795566782928384e-01 3.083970292087072629e-01 3.133184605467631556e-01 4.008325573854253365e-01 8.267621849490457420e-01
0.000000000000000000e+00 -9.999999999999999775e+37 1.437904958460327620e-01 2.051586845610651189e-01 3.263165960930030085e-01 4.956955948646244448e-01 5.259316892002211530e-01 3.703217800442397678e-01 2.048746083909414040e-02 3.069399298351003225e-01
0.000000000000000000e+00 -9.999999999999999775e+37 1.625823768481851062e-01 2.392056464358249812e-01 7.218387181583921786e-01 4.203514167172667237e-01 2.094072523013608134e-01 2.899228646266051035e-01 5.010212862997137639e-01 7.849497675443628530e-03
0.000000000000000000e+00 -9.999999999999999775e+37 2.381363453793694518e-03 2.322820596593996312e-01 5.214405501555238187e-01 1.976125993815831539e-01 9.843528919911735953e-01 6.980835853052489437e-01 8.488557381964594306e-01 3.780337621249586499e-01
0.000000000000000000e+00 -9.999999999999999775e+37 2.560947634456837152e-01 4.826853336011081019e-01 1.354946169031496783e-01 4.884957334149450103e-01 9.043680835277494445e-01 9.571909384226306994e-01 2.159287174763286909e-01 7.671068629200467059e-01
0.000000000000000000e+00 -9.999999999999999775e+37 5.879122099343624397e-01 5.649802503526010211e-01 7.748090585500055916e-01 9.102767394668531686e-03 2.729618457635201167e-01 7.843282358252823272e-01 1.127686800110129228e-01 1.609902610899806019e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.546268535297464775e-01 6.954178665858365971e-01 3.701454870108845663e-01 8.654401600045645848e-01 4.809927225051662258e-01 1.210160733323007998e-01 6.202833322734475630e-01 8.281482060015908919e-01
0.000000000000000000e+00 -9.999999999999999775e+37 8.042236436974963265e-01 2.521271987512863078e-01 1.577538259539773557e-01 9.714773544276420481e-01 3.270609727882913820e-01 3.131050873408562918e-01 7.776447081528061744e-01 5.383531441457407585e-01
0.000000000000000000e+00 -9.999999999999999775e+37 8.036558472681949450e-01 6.964325097902778205e-01 1.179115580770890848e-01 7.074810249569631893e-01 2.169384955014289629e-01 8.135723764275385461e-01 9.976991929570256934e-01 5.974098356123347386e-02
