m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
1.434924716537154810e+00 5.120416796036883156e+00 5.415964259058348773e+01 8.148381812965402204e+00 4.663313292691038114e+00 2.568607641049262647e+00 2.049960492530065459e-01 2.354628254608785909e+01
9.983753397465774393e-01 5.391650535522098941e+00 5.682602843653175029e+01 8.168664997508326309e+00 3.383003078564488675e+01 2.651557765074370909e+00 2.005344326971073843e-01 2.188766125061457046e+01
1.141994407714452153e+00 5.300861060941564062e+00 5.902013668534842594e+01 8.036987642660772480e+00 3.720429348973898698e+01 2.717537442594539776e+00 2.000905744255301877e-01 2.395711005418839790e+01
1.123439878584446605e+00 5.353383869870853573e+00 5.520107564650544418e+01 7.742431398231824247e+00 4.841236608368046745e+01 2.580245938362890179e+00 2.006607111597003834e-01 2.333848686909846037e+01
9.235748843723918799e-01 6.370685786750309276e+00 5.379055232361201178e+01 7.802424846623822852e+00 5.161285949685122887e+01 2.571996031975944064e+00 2.019255107823680340e-01 2.246369802299840046e+01
1.441618692082185182e+00 5.045190296927011708e+00 5.686570033391768675e+01 8.677952144353513475e+00 1.414325644854457664e+00 2.708774033514694146e+00 2.048408590210880342e-01 1.068872835180322411e+01
1.054119763939707521e+00 6.234615748771158650e+00 5.335233190744847320e+01 8.204647596255954412e+00 1.902304087639755537e+01 2.651026378976488740e+00 2.074111020448746179e-01 2.219894333183463075e+01
1.148143890477080209e+00 5.119872940062795585e+00 5.857426500609525988e+01 8.141328929049709728e+00 1.521250771509645006e+01 2.722464303781058081e+00 2.004282843195599184e-01 1.697676981392526585e+01
8.813017341029922846e-01 6.163869755273981177e+00 5.480226506138971843e+01 8.091360805005148649e+00 3.577187897749776369e+01 2.644644377444420158e+00 2.019618316211340137e-01 1.944902288743661600e+01
1.258627097598477018e+00 5.335672968465990706e+00 5.646100361611060947e+01 8.286916573032819144e+00 7.215268473333384946e+00 2.626822922578228248e+00 2.038730819354348245e-01 2.265382007544084075e+01
9.633475451001737300e-01 5.456284117468843675e+00 5.726075143840868265e+01 7.711268048511173312e+00 5.291375870502866263e+01 2.642848914541429561e+00 2.002761717581210688e-01 2.200316539040038322e+01
1.276133350442971048e+00 5.248191656247624515e+00 5.746856511450549476e+01 8.230433917639391694e+00 5.146506687430493443e+00 2.682096714267378612e+00 2.000900616761746853e-01 1.817998993703074362e+01
1.003552584866281627e+00 5.329516704259536830e+00 5.708027619949012887e+01 8.225756104575285832e+00 3.529521432679389648e+01 2.680138214994188584e+00 2.009366863565143768e-01 2.131914282096703772e+01
1.259989234536155411e+00 5.010295106538986687e+00 5.590363168134345528e+01 7.753586587952407072e+00 5.495661484988775669e+01 2.620134955582047898e+00 2.011466701544014635e-01 2.487402251248973428e+01
1.126455852403498215e+00 5.661148933173958397e+00 5.704463319365245866e+01 7.957949753590575881e+00 1.339901521572991605e+01 2.698283685996945902e+00 2.024387569474225823e-01 1.910005574424299013e+01
1.104189649341479562e+00 6.813604036858552426e+00 5.365629743520558037e+01 7.720082907382349369e+00 1.104916937085035133e+00 2.611210751275182318e+00 2.012819192666457646e-01 1.928409845949089174e+01
1.133450075512550947e+00 6.036845482050913425e+00 5.512002516765594606e+01 7.860516839892103924e+00 5.602461081766815454e+00 2.616573947167786685e+00 2.011531832506673889e-01 1.911829755639551465e+01
1.230191137801491585e+00 5.586033182717442536e+00 5.455714867319356642e+01 7.906405681815523501e+00 1.033914890710167356e+01 2.620695256754606017e+00 2.005796184018714401e-01 1.756670874661626769e+01
1.133450075512550947e+00 6.036845482050913425e+00 5.512002516765594606e+01 7.860516839892103924e+00 5.602461081766815454e+00 2.616573947167786685e+00 2.011531832506673889e-01 1.911829755639551465e+01
1.237327168912873976e+00 5.396508073894642266e+00 5.530139925461048733e+01 7.795593686217729079e+00 2.046277903969812328e+01 2.593381469907605652e+00 2.003735444178738057e-01 2.472053281724803497e+01
1.255446558098536780e+00 5.125968706351185844e+00 5.481698754819674235e+01 7.899122563853046231e+00 3.257410108359639622e+01 2.575482895168354158e+00 2.016734849680055786e-01 2.261395997698994265e+01
1.042954292152681095e+00 5.888898601393103505e+00 5.292531512741545185e+01 8.215126721843169832e+00 3.828711267478787050e+01 2.581811330407710159e+00 2.036824892344963889e-01 1.967794058492097875e+01
1.190931654571240506e+00 5.033279270929296167e+00 5.642339818960568465e+01 8.161685547186422696e+00 3.821851216788927275e+01 2.663337784803701869e+00 2.026118814131316614e-01 1.785341082865067008e+01
1.042229623830350338e+00 5.258577657351612977e+00 5.779510721850061117e+01 8.014392777996476980e+00 4.300171908242353425e+01 2.674065067037124432e+00 2.018223890343575910e-01 2.474937016409957380e+01
1.488694755741678533e+00 5.179950556965023267e+00 5.365497140542555599e+01 7.851783256877146400e+00 6.303503198945517028e+00 2.543314341478942975e+00 2.014124623681626258e-01 1.910760191526706819e+01
1.071142431338472534e+00 5.524683402874645211e+00 5.660905174093184655e+01 8.309749235939442258e+00 3.075447788189028842e+01 2.673943625767610577e+00 2.002756086174712902e-01 2.009532862492952177e+01
1.370665804410820643e+00 5.260586421438539162e+00 5.633238718960037517e+01 7.740737168184166350e+00 5.533153837869504876e+00 2.629885327086838309e+00 2.009960728312197853e-01 1.462541701789078274e+01
1.092060631540270332e+00 5.069004483082391488e+00 5.885083764074920509e+01 7.916942816244615599e+00 5.292249701746879254e+01 2.726514554440972127e+00 2.052094344621293032e-01 2.406007166259251306e+01
