weight logl m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
0.000000000000000000e+00 -9.999999999999999775e+37 3.914714598824111658e+00 1.391434315584301729e+01 1.234399115280213444e+01 1.735054608031285994e+01 2.360851314923553446e+01 6.645878721813790690e+00 1.932947255187254187e+00 3.433800651180249908e+00
0.000000000000000000e+00 -9.999999999999999775e+37 4.470329037911113801e-01 9.070148702874544000e+00 6.844014871533690325e+01 2.617647134166811718e+00 7.217119874816860658e+01 3.236630337026519477e+00 1.921724952945676135e+00 5.040856444394353986e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.767500725973336406e+00 6.532920203986163799e+00 1.561956659245327472e+01 4.134741584374460643e+01 9.220825683877583856e+01 3.577278689156157654e+00 1.653464133573736117e+00 1.453187800959019960e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.656850835248301790e+00 6.340021099072803423e+00 1.384323324786609888e+01 4.593297776597817972e+01 7.817747951842247289e+01 6.360535509888318728e+00 1.820993044557392748e+00 1.139759576279128694e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.540553131584214697e+00 1.143247276408027879e+01 4.296269822166042474e+01 1.606376316872743626e+00 6.596897651138155538e+01 6.949169309025278629e+00 6.660136480837580697e-01 1.768433998266716856e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.754609734294186651e+00 1.232847180622639982e+01 2.171239305319455326e+01 2.182329623118859274e+01 6.773687189596529379e+01 4.766544376585780007e+00 1.485134501382505690e+00 1.721990026761487158e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.155550967549410224e+00 1.049309416477452572e+01 3.589604419828673088e+01 2.358534812558621496e+01 4.401790464295505245e+01 4.898651216954775123e+00 5.630231611398572866e-01 1.676263473012281935e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.293584369364533693e+00 1.115799708462993856e+01 3.168243757566601815e+01 4.798857128645719428e+01 5.739300956580454027e+01 4.585962343894884441e+00 6.832346674385707530e-01 3.674844060180252114e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.701870419097598619e+00 1.426377281963062416e+01 2.600709268647552364e+01 9.653653187661211277e+00 4.671099571023991359e+01 4.728789339732115238e+00 1.437511493161699239e+00 2.397456988066522499e+01
0.000000000000000000e+00 -9.999999999999999775e+37 3.707506621957491699e+00 8.860093249746324062e+00 4.500502476393804585e+01 4.793112747323329614e+01 8.704886001218487479e+01 7.470349398556844989e+00 6.839647490379552330e-01 8.353469855579678693e+00
0.000000000000000000e+00 -9.999999999999999775e+37 4.021691385707188537e+00 1.949284729473370703e+01 5.292343656253858342e+01 3.973904456949107811e+01 7.814258082531959815e+01 5.101403676266903275e+00 1.300247965066517297e+00 6.119241437567229269e+00
0.000000000000000000e+00 -9.999999999999999775e+37 4.332409924968313675e+00 7.646506188226755540e+00 4.143765285490606232e+01 3.333141011575913470e+00 7.129771407016781382e+01 6.962942536533069493e+00 3.099267377329208983e-01 1.098645173286976728e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.431690571717105342e+00 1.853134486009909665e+01 1.668583162881131443e+01 4.036600169606521860e+01 9.983936514462747880e+01 2.401375227170837512e+00 7.191567891561054804e-01 1.786848351131112977e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.472350298412470671e-01 1.339726742284096339e+01 2.762185459927461650e+01 3.722415216811722161e+01 8.345223082178642926e+01 6.186688082514312015e+00 1.779953779539704906e+00 2.238101285441713628e+01
0.000000000000000000e+00 -9.999999999999999775e+37 2.259667470247544330e+00 1.852986055877658345e+01 1.047631972229274133e+01 8.483022650453493796e+00 3.833691040514256088e+01 4.389727582099002490e+00 1.764657829257253008e+00 1.191333776503687858e+01
0.000000000000000000e+00 -9.999999999999999775e+37 1.879320102659017389e+00 1.996141331386834850e+01 1.756014304190410869e+01 1.546535871349926872e+01 3.343128071040464988e+01 5.646230238527088829e+00 3.355421231592177200e-01 9.473608429289495092e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.968647502336841493e+00 9.404247393685203349e+00 2.523587129015627184e+01 4.789918902781304411e+01 3.785339278422136999e+01 6.035291427011816090e+00 1.585284834552529665e+00 2.281584625228076391e+01
0.000000000000000000e+00 -9.999999999999999775e+37 6.824737111899963349e-01 1.427587234965039364e+01 4.981086131762987890e+01 4.583162891715443976e+01 7.314844465338090629e+01 2.992602138095345587e+00 3.899273493000975366e-01 2.301481360984876101e+00
0.000000000000000000e+00 -9.999999999999999775e+37 3.067683888188146746e+00 1.243132980504034535e+01 1.351497463137316757e+01 3.570902623839754852e+01 9.703781477367923003e+01 3.518320405835356102e+00 1.370045689747149353e+00 1.612444558767486669e+01
0.000000000000000000e+00 -9.999999999999999775e+37 4.872239245588821710e+00 1.543711251144564933e+01 4.858169190749931943e+01 1.410221377781157237e+01 6.293364677938868113e+00 6.658708200045761139e+00 1.583004996117912233e+00 4.991982163576244247e+00
0.000000000000000000e+00 -9.999999999999999775e+37 3.800512355104419093e+00 8.886954446073977110e+00 4.236492894325925107e+01 3.070367783505745152e+01 3.197045237188905986e+01 6.362451313098242522e+00 9.167361772983038115e-01 5.726391924333910310e+00
0.000000000000000000e+00 -9.999999999999999775e+37 1.691379308261143466e+00 7.811455078175434608e+00 1.510985923974979883e+01 2.549307478927441473e+00 3.720158916994842002e+01 4.079719534749046694e+00 4.383654693540658398e-01 2.248973850942716268e+01
