weight logl m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
0.000000000000000000e+00 -9.999999999999999775e+37 7.785131834334920731e-01 5.571464472401885804e-01 2.604434614224593325e-02 3.336846138839358877e-01 2.283688196892478262e-01 7.743131203022983744e-01 9.627484751040300548e-01 6.233915874696738246e-02
0.000000000000000000e+00 -9.999999999999999775e+37 7.082304159002272836e-02 2.543842939296590000e-01 6.493349857259655966e-01 3.301320681973085591e-02 7.189009974562485805e-01 2.061050561710865425e-01 9.565138627475978650e-01 1.322111497562762361e-01
0.000000000000000000e+00 -9.999999999999999775e+37 3.403062706068032961e-01 9.580751274913523741e-02 6.243962880503639568e-02 8.234166498723388683e-01 9.212955236239983581e-01 2.628797815260263127e-01 8.074800742076312376e-01 5.448642612865304269e-01
0.000000000000000000e+00 -9.999999999999999775e+37 3.177246602547554311e-01 8.375131869205021395e-02 4.270259164295664434e-02 9.169995462444526790e-01 7.795705001860856465e-01 7.267559183147198620e-01 9.005516914207737367e-01 4.085911201213603405e-01
0.000000000000000000e+00 -9.999999999999999775e+37 4.980720676702478089e-01 4.020295477550174246e-01 3.662522024628935835e-01 1.237502687495395381e-02 6.562522879937530140e-01 8.248615515042131419e-01 2.588964711576433597e-01 6.819278253333550532e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.458387212845277725e-01 4.580294878891499888e-01 1.301377005910505646e-01 4.249652292079304505e-01 6.741098171309625187e-01 4.610907294309632976e-01 7.139636118791697905e-01 6.617347942441248465e-01
0.000000000000000000e+00 -9.999999999999999775e+37 8.276634627651857645e-01 3.433183852984078577e-01 2.877338244254080690e-01 4.609254719507390741e-01 4.345242893227783121e-01 4.831085361591291871e-01 2.016795339665873321e-01 6.418536839183833775e-01
0.000000000000000000e+00 -9.999999999999999775e+37 6.517519121152108852e-01 3.848748177893711597e-01 2.409159730629557572e-01 9.589504344174937245e-01 5.696263592505509399e-01 4.309937239824807031e-01 2.684637041325392826e-01 7.281930696435878758e-02
0.000000000000000000e+00 -9.999999999999999775e+37 3.269123304280813214e-01 5.789858012269140097e-01 1.778565854052835959e-01 1.766051670951267472e-01 4.617272293963627927e-01 4.547982232886859100e-01 6.875063850898328610e-01 9.554160817680532602e-01
0.000000000000000000e+00 -9.999999999999999775e+37 7.362258412158145804e-01 2.412558281091452539e-01 3.889447195993116502e-01 9.577781116986386900e-01 8.691804041634836331e-01 9.117248997594742388e-01 2.688693050210861912e-01 2.762378198078121461e-01
